,Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE,Ranked_By,gs_params,gs_r2,best_gs_r2,best_gs_params,best_gs_model
0,wds,H1_H2_H3_P1_P2_V_SASA_SCT_PKA_PKB_,gbr,0.9688362369860076,5.815974977542249,0.0133257120745728,118.47653460905876,10.772182211208346,R2,"[{'xgb__colsample_bytree': 1.0, 'xgb__gamma': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 0.1, 'xgb__subsample': 1.0}, {'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 800}]",[0.96733393 0.96218051 0.96883624],0.9688362369860075,"{'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 800}",gbr
1,wds,H1_H2_H3_P2_V_SCT_PKA_,xgb,0.9686995760799526,5.584712979414436,0.0126408786659173,119.00564218669092,10.69493842912814,R2,"[{'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 0.1, 'xgb__subsample': 1.0}, {'rf__bootstrap': True, 'rf__max_depth': 30, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}, {'gbr__learning_rate': 0.1, 'gbr__max_depth': 3, 'gbr__max_features': 'sqrt', 'gbr__n_estimators': 500}]",[0.96937574 0.96288097 0.96729487],0.9693757370829287,"{'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 0.1, 'xgb__subsample': 1.0}",xgb
2,wds,H1_H2_H3_P1_P2_V_MASS_SASA_SCT_,gbr,0.9686985604773628,5.937825587941569,0.0136026045237552,118.39974135653776,10.72928000859051,R2,"[{'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}, {'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 800}]",[0.96803106 0.96155857 0.96869856],0.9686985604773628,"{'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 800}",gbr
3,wds,H1_H2_NCI_MASS_SASA_PKB_,gbr,0.968594946385093,5.883918457727545,0.0135093293459132,119.66574585807302,10.794597307393609,R2,"[{'rf__bootstrap': True, 'rf__max_depth': 30, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0.1, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1.0, 'xgb__reg_lambda': 0.1, 'xgb__subsample': 1.0}, {'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 500}]",[0.96150578 0.96582849 0.96892492],0.9689249189823037,"{'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 500}",gbr
4,wds,H1_H2_H3_MASS_SASA_SCT_PKB_,gbr,0.9684794427589424,5.736123931366432,0.0131157808057303,119.71938566992864,10.731194161957958,R2,"[{'xgb__colsample_bytree': 1.0, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}, {'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 800}]",[0.96763667 0.96287521 0.96847944],0.9684794427589425,"{'gbr__learning_rate': 0.2, 'gbr__max_depth': 3, 'gbr__max_features': 'log2', 'gbr__n_estimators': 800}",gbr
5,wds,H1_P2_SCT_,rf,0.9635491958491548,5.525468992140149,0.0123282707415092,137.93878699062324,11.372964612497311,MAE,"[{'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0.1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}, {'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}, {'gbr__learning_rate': 0.1, 'gbr__max_depth': 5, 'gbr__max_features': None, 'gbr__n_estimators': 200}]",[0.96930357 0.96356436 0.96761775],0.9693035729029351,"{'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0.1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}",xgb
6,wds,H1_SASA_SCT_,rf,0.963176263844606,5.536853251656469,0.0123768351821893,139.2146535129761,11.4365659467269,MAE,"[{'rf__bootstrap': True, 'rf__max_depth': 30, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 3, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}, {'gbr__learning_rate': 0.1, 'gbr__max_depth': 3, 'gbr__max_features': 'sqrt', 'gbr__n_estimators': 800}]",[0.96322315 0.96636077 0.96741271],0.9674127084050991,"{'gbr__learning_rate': 0.1, 'gbr__max_depth': 3, 'gbr__max_features': 'sqrt', 'gbr__n_estimators': 800}",gbr
7,wds,H2_P2_V_SASA_,xgb,0.9671216924073393,5.539737387068284,0.0125353676793902,125.16899840926928,10.963955802189592,MAE,"[{'rf__bootstrap': True, 'rf__max_depth': 30, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}, {'gbr__learning_rate': 0.1, 'gbr__max_depth': 3, 'gbr__max_features': None, 'gbr__n_estimators': 500}, {'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0.1, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 1.0, 'xgb__subsample': 1.0}]",[0.96257199 0.96632154 0.96668066],0.9666806630953919,"{'xgb__colsample_bytree': 0.8, 'xgb__gamma': 0.1, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 3, 'xgb__n_estimators': 300, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 1.0, 'xgb__subsample': 1.0}",xgb
8,wds,H1_H2_H3_P2_V_SASA_SCT_,xgb,0.9670996562854092,5.54183286336015,0.0125247976588952,124.94583086943295,10.868226838364738,MAE,"[{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'xgb__colsample_bytree': 1.0, 'xgb__gamma': 0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1.0, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}, {'gbr__learning_rate': 0.1, 'gbr__max_depth': 5, 'gbr__max_features': 'sqrt', 'gbr__n_estimators': 200}]",[0.96167229 0.96822938 0.96717555],0.9682293782421469,"{'xgb__colsample_bytree': 1.0, 'xgb__gamma': 0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 1.0, 'xgb__reg_lambda': 0, 'xgb__subsample': 1.0}",xgb
9,wds,H1_H2_H3_P2_V_SCT_,xgb,0.9674394292027684,5.546996499556746,0.0125251966136059,123.75166785139344,10.785950538628173,MAE,"[{'xgb__colsample_bytree': 1.0, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.1, 'xgb__subsample': 1.0}, {'rf__bootstrap': True, 'rf__max_depth': 30, 'rf__max_features': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}, {'gbr__learning_rate': 0.1, 'gbr__max_depth': 5, 'gbr__max_features': None, 'gbr__n_estimators': 200}]",[0.96866767 0.96161291 0.96838338],0.9686676703613191,"{'xgb__colsample_bytree': 1.0, 'xgb__gamma': 0, 'xgb__learning_rate': 0.2, 'xgb__max_depth': 5, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.1, 'xgb__subsample': 1.0}",xgb
