Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE
wt_mnm,H1_,rf,0.9507366589938007,7.327905057365195,0.015530932258949293,148.57372624555939,11.992237707088517
wt_mnm,H1_,gbr,0.9475690955596653,8.277377147180163,0.017532868417393405,158.20185664819596,12.403675752858355
wt_mnm,H1_,xgb,0.9449066157024741,7.537731358564592,0.016002773844190212,167.4150620961527,12.659047141242795
wt_mnm,H1_,BayesianRidge,0.9293971586730766,10.43586638930123,0.022261122108641892,212.13459082174205,14.485420307158373
wt_mnm,H2_,rf,0.9518391364473373,7.474509930117999,0.01581531246034336,147.11515279017425,11.86440849155068
wt_mnm,H2_,xgb,0.9491292222889742,7.509479831674142,0.01586506595068334,152.96946036286928,12.222006750631147
wt_mnm,H2_,gbr,0.9481889513139932,8.432614362720997,0.017842820762029362,158.72011764878292,12.409013514653054
wt_mnm,H2_,BayesianRidge,0.9188477415219214,10.788123940328827,0.023148570039326702,250.2207761862814,15.47216627318208
wt_mnm,H3_,xgb,0.9320087713081013,8.61692542479555,0.018395769922224414,204.16322417831543,14.080271152894209
wt_mnm,H3_,gbr,0.9319720614037132,9.796067547334706,0.02082280884378114,204.014236520313,14.066116658238215
wt_mnm,H3_,rf,0.9298936132179042,8.677076583498442,0.01859620931452096,210.42108280554424,14.299548648964995
wt_mnm,H3_,BayesianRidge,0.9227249771492352,10.994313259504814,0.023506062938710198,231.35397085547817,15.055775816878935
wt_mnm,P1_,rf,0.947467158357416,7.704770869769986,0.016342686601127164,159.6268249979284,12.47100881291841
wt_mnm,P1_,xgb,0.9465968919289484,7.481942558706651,0.015846587081332762,162.4859646962444,12.576322461528758
wt_mnm,P1_,gbr,0.943324975211822,8.676517135458194,0.018433994740671283,173.27594008828177,12.934761414605742
wt_mnm,P1_,BayesianRidge,0.9097409241264082,11.14892370316157,0.02388934307821658,269.72668387522634,16.259916561838793
wt_mnm,P2_,xgb,0.9498599370333481,7.3354069493346525,0.015614718686250195,152.32697921012982,12.146411863496047
wt_mnm,P2_,rf,0.9480954273595537,7.529502629039854,0.015945575167769465,156.15468314170337,12.375290794880211
wt_mnm,P2_,gbr,0.945480266093304,8.496294954933006,0.018028899285707552,166.7278953002894,12.707219302604269
wt_mnm,P2_,BayesianRidge,0.9128817252377479,11.269525487496344,0.024207278780364824,264.08948528481386,16.143730145909757
wt_mnm,V_,rf,0.9442532944968308,7.809303391186465,0.0166714353413268,167.52222895576804,12.785235698594759
wt_mnm,V_,xgb,0.9436768383594029,7.603591842427034,0.016149943353778565,169.6247444941224,12.877309464639348
wt_mnm,V_,gbr,0.9434301279608638,8.745796688288928,0.018546359241825138,170.09518537303694,12.919336578287181
wt_mnm,V_,BayesianRidge,0.9143827567684545,11.109701406495054,0.023865858624646335,259.3786467130188,16.021859625781737
wt_mnm,NCI_,xgb,0.9550399256046352,7.2810197874965015,0.01536418327645388,133.82752221826718,11.450298776945186
wt_mnm,NCI_,rf,0.9530500801052708,7.572500030422221,0.01619981901136313,141.8621640357212,11.809643270675688
wt_mnm,NCI_,gbr,0.952237086346617,8.390771395372798,0.01776550666408713,143.1294095362458,11.92557662816569
wt_mnm,NCI_,BayesianRidge,0.9165946642643903,11.179289560963987,0.023819133837856568,251.87600248840013,15.758814075989074
wt_mnm,MASS_,rf,0.9392351802459169,7.836000960251694,0.01684505561849531,185.3818952564673,13.320873449766617
wt_mnm,MASS_,gbr,0.9327224655207129,9.350516878653917,0.020081474902037523,204.41849075821716,14.080340867643292
wt_mnm,MASS_,xgb,0.9290538576213894,8.215001936369292,0.017487388111630548,213.32079518920153,14.254107418600878
wt_mnm,MASS_,BayesianRidge,0.9095905099605301,11.542967421182805,0.024838189272024244,272.29228512921435,16.390945666070543
wt_mnm,SASA_,rf,0.9437007252867012,7.632832582451854,0.016219340586377407,168.6321070595155,12.749366213335259
wt_mnm,SASA_,gbr,0.9396765014538412,8.836459205503251,0.018741806937090762,182.99301311956302,13.290774311767583
wt_mnm,SASA_,xgb,0.9396571242095172,7.638637763265299,0.01625794622368587,180.8702356480903,13.072085009305798
wt_mnm,SASA_,BayesianRidge,0.9126684353381934,11.357155945745198,0.024447844966448123,263.25495107707235,16.091626105699483
wt_mnm,SCT_,rf,0.9309893404085476,8.523560786510037,0.01832207275149437,206.49568184967157,14.038785006568082
wt_mnm,SCT_,xgb,0.9301258579863309,8.508126615041466,0.018117718688965837,206.42235665828565,14.148991549970702
wt_mnm,SCT_,gbr,0.925453020465748,9.891353084389241,0.02108346485691619,223.02772646583927,14.646937678468188
wt_mnm,SCT_,BayesianRidge,0.9107531524229537,11.374822346696533,0.02434046626465938,268.3767351940106,16.260477613005058
wt_mnm,PKA_,xgb,0.9470941535255986,7.463954051882721,0.015717937464334177,159.1554347136943,12.476953023834486
wt_mnm,PKA_,rf,0.9447867531593748,7.75182144184137,0.016341953669603684,166.1843505436639,12.727501138072046
wt_mnm,PKA_,gbr,0.9422795448119177,8.566965525320578,0.01803284642161072,174.36210312308395,13.097676950221445
wt_mnm,PKA_,BayesianRidge,0.9193392802613403,10.834925683570017,0.0230400793705574,242.10850666632155,15.449226699624962
wt_mnm,PKB_,xgb,0.9338478929096301,7.8940751011085455,0.016696799636972154,198.70110341101787,13.927467848225472
wt_mnm,PKB_,gbr,0.9310627833401524,9.348123068801367,0.01977001277489821,207.99211716859787,14.264378874058888
wt_mnm,PKB_,rf,0.9292004402252996,8.279210980448314,0.017539276122802032,214.03961766687962,14.425911606773544
wt_mnm,PKB_,BayesianRidge,0.9095854903074129,11.555404642841344,0.024608715866755598,271.1767603147347,16.332223623332432
wt_mnm,H1_H2_,rf,0.9527670578000631,7.382289789717545,0.01566619873668218,143.2974299305559,11.767457475011904
wt_mnm,H1_H2_,xgb,0.9498898488936038,7.405936311600966,0.01569328391505347,150.50646324217286,12.116872351100488
wt_mnm,H1_H2_,gbr,0.947141919006714,8.227152888979225,0.017374389505838816,160.13602030829546,12.48127966351474
wt_mnm,H1_H2_,BayesianRidge,0.9345785672414045,9.565531459782507,0.02048242846973249,197.95829418941486,13.947709109245334
wt_mnm,H1_H3_,rf,0.9507082912770608,7.313982881136953,0.01551134702249935,148.65120764869297,11.988677769133789
wt_mnm,H1_H3_,xgb,0.9483515068203658,7.420504813848159,0.01579649229538985,157.77936398067564,12.31952114431618
wt_mnm,H1_H3_,gbr,0.946010119978838,8.185374291996037,0.017329518019106406,163.21918353966902,12.584854383116513
wt_mnm,H1_H3_,BayesianRidge,0.9354540017843892,9.614871841782552,0.02045933223716918,192.8652624394451,13.798602925029883
wt_mnm,H1_P1_,rf,0.9497682209683141,7.442065351319359,0.01574271998581291,152.7401169995779,12.133594139504803
wt_mnm,H1_P1_,xgb,0.9493068575691078,7.247153399196483,0.01531018505454071,155.34822012775027,12.17663215090444
wt_mnm,H1_P1_,gbr,0.9492362012663168,8.075832376682449,0.01709826438932573,154.7536924578726,12.255340679822137
wt_mnm,H1_P1_,BayesianRidge,0.9315386648052651,10.075744440817825,0.021524601464375785,204.9385983716715,14.225111151227216
wt_mnm,H1_P2_,gbr,0.9540594393002788,7.719197322323623,0.016331305149947697,138.65830145952705,11.614008190043318
wt_mnm,H1_P2_,rf,0.9524894471878346,7.1539887414238645,0.015119254388802803,142.72312938168517,11.754860704822667
wt_mnm,H1_P2_,xgb,0.9453403870602143,7.394399585192614,0.015749617799383497,163.76191983756323,12.66091497365009
wt_mnm,H1_P2_,BayesianRidge,0.9361334457912361,9.524164810502544,0.020401213975132636,192.10061280925805,13.768090682785006
wt_mnm,H1_V_,gbr,0.9528635807154044,7.8218129024497305,0.016541990932778118,142.4344603240532,11.782516927378751
wt_mnm,H1_V_,rf,0.9495525489767438,7.257424671338195,0.015382996305557419,151.76239569972466,12.124254102507814
wt_mnm,H1_V_,xgb,0.9450983495503124,7.387412430376524,0.015661593383474687,164.427974942598,12.678927965826455
wt_mnm,H1_V_,BayesianRidge,0.933559960318792,9.600626381976245,0.02058597106140245,200.82273317849,14.05340378330045
wt_mnm,H1_NCI_,rf,0.9522277320342818,7.296763467390522,0.015448681905299059,145.56557836220586,11.852238669222146
wt_mnm,H1_NCI_,gbr,0.9499177571157741,8.085443142723342,0.017097907362662944,151.98713343822902,12.190140603403039
wt_mnm,H1_NCI_,xgb,0.9462490820405272,7.483026737395662,0.01589591376253502,164.69796748657845,12.566530760996026
wt_mnm,H1_NCI_,BayesianRidge,0.937164625263655,9.537786731780008,0.020350202810554652,187.41460306525818,13.575438755640146
wt_mnm,H1_MASS_,rf,0.9522565903753402,7.123107674164027,0.015071566188943997,143.57548862154061,11.784657026984164
wt_mnm,H1_MASS_,gbr,0.9518315856339207,7.860747780480604,0.016637960437499103,145.38118117001605,11.882436688640976
wt_mnm,H1_MASS_,xgb,0.9493906844532166,7.2292459354273175,0.015391145626239519,151.9024739088557,12.156880763716755
wt_mnm,H1_MASS_,BayesianRidge,0.9335506695997783,9.71635729709239,0.020823722503322522,199.69383519892594,14.024419868155586
wt_mnm,H1_SASA_,rf,0.9527926841048808,7.095998685098206,0.015018555947028897,141.73515273236433,11.698437272411672
wt_mnm,H1_SASA_,gbr,0.9522524098656204,7.873127869992819,0.01666547505096424,144.59444956227497,11.854419675000596
wt_mnm,H1_SASA_,xgb,0.9467872780853919,7.404786227424334,0.015716502786060967,158.51263568797629,12.436818885718864
wt_mnm,H1_SASA_,BayesianRidge,0.9338482512208321,9.7427814095602,0.020851827153141413,198.50230900167293,14.00652900208604
wt_mnm,H1_SCT_,rf,0.9526527510585755,7.320482704268022,0.01556928850049632,142.2345579126973,11.741207904229919
wt_mnm,H1_SCT_,gbr,0.952153364554715,8.097883915818766,0.01710617432934073,143.10141716362455,11.84691487708848
wt_mnm,H1_SCT_,xgb,0.9478095912585631,7.60405798811353,0.01621976754961394,157.49018607416184,12.37443778552527
wt_mnm,H1_SCT_,BayesianRidge,0.9244281118067269,10.192825126554435,0.021826739964423143,227.07229235313042,14.938791776361038
wt_mnm,H1_PKA_,rf,0.9538674127627831,7.218542443769808,0.015272428217004152,139.17389911671557,11.654913166200267
wt_mnm,H1_PKA_,xgb,0.952283400893635,7.11941947480594,0.015055282132518643,145.40632225858036,11.86652432888726
wt_mnm,H1_PKA_,gbr,0.9519121323151548,7.782430766569367,0.016434440358831393,144.90643351233464,11.920786954652982
wt_mnm,H1_PKA_,BayesianRidge,0.9407858438797468,9.34322732279453,0.0198278211560757,176.92562444417595,13.235729650354026
wt_mnm,H1_PKB_,rf,0.9505396360290419,7.317897088377185,0.01544273398928774,149.892169283222,11.9682403083744
wt_mnm,H1_PKB_,gbr,0.9501528842192043,8.097134260017008,0.0171251825980905,150.6488005291979,12.137472681231278
wt_mnm,H1_PKB_,xgb,0.9495251719297,7.238040284312559,0.015264783266411184,153.42314824710198,12.099350062431185
wt_mnm,H1_PKB_,BayesianRidge,0.9395291124448149,9.433753845312038,0.020035206539673018,179.2449473849662,13.341938734504916
wt_mnm,H2_H3_,rf,0.9514095176039644,7.466926396112575,0.015865078333903847,148.02683424960338,11.928693945838374
wt_mnm,H2_H3_,gbr,0.9488223478190253,8.364963699182173,0.01772703621807343,156.31084164112227,12.259286662989439
wt_mnm,H2_H3_,xgb,0.9447470205109114,7.616678756799521,0.016113625776296697,166.16041956459668,12.693532107253299
wt_mnm,H2_H3_,BayesianRidge,0.9339758967053271,9.367867802695091,0.02008663471204558,202.84984692709094,13.834080903752774
