,R2,MAE,MSE,RMSE,MAPE
lgbm,0.7888367071854143,17.319132178441127,683.2730418211274,24.689296549640567,0.03748759066529896
gbr,0.7392175579179194,17.396784564425666,813.0693106446524,27.102695390628924,0.03753451798181388
rf,0.7384943001754631,18.57764583333333,839.5428657916666,27.32251643303467,0.039951082575022494
et,0.7278345010414903,17.5533375,834.7396860416666,27.426021583994913,0.037633101141843484
xgb,0.7025866568088531,18.787486941019694,940.212418242923,29.221907326091628,0.04092184668580067
Adaboost,0.6317828650007379,24.852343531804166,1044.1092811498647,31.498550372280494,0.05342718122799389
BayesianRidge,0.5485673367977142,27.438032417297364,1534.0289514756928,36.79860433668969,0.06089564570039675
lr,0.5485064506530761,27.403562164306642,1530.6692486129996,36.74924254008967,0.06080229814255654
dt,0.5221157519290935,22.736666666666668,1473.9083333333333,36.83105529429261,0.0485654181106696
HubR,0.499397902213885,27.372901349351565,1686.596992384791,38.21186621512835,0.06130831606822268
Lasso,0.47315293550491333,29.950724538167314,1781.9833948894006,40.037416893680856,0.06601196995940986
LassoLars,0.473152893781662,29.95072732289632,1781.9835666640683,40.03741895162067,0.06601197584433025
