Column1,Lambda_Max
Squid,473
S1,571
S2,540
S3,538
S4,542
S5,547
S6,561
S7,565
S8,569
S9,542
S10,558
S11,560
S12,561
S13,566
S14,556
S15,550
S16,543
S17,545
S18,543
S19,550
S20,547
S21,548
S22,546
S23,550
S24,543
S25,552
S26,554
S27,551
S28,551
S29,549
S30,435
S31,500
S32,450
S33,440
S34,528
S35,530
S36,516
S37,527
S38,526
S39,528
S40,475
S41,508
S42,535
S43,520
S44,526
S45,533
S46,528
S47,450
S48,437
S49,446
S50,425
S51,420
S52,430
S53,525
S54,521
S55,509
S56,510
S57,521
S58,513
S59,515
S60,513
S61,496
S62,508
S63,505
S64,498
S65,505
S66,500
S67,494
S68,505
S69,431
S70,430
S71,429
S72,430
S73,431
S74,435
S75,439
S76,431
S77,363
S78,511
S79,431
S80,356
S81,357
S82,442
S83,584
S84,509
S85,572
S86,507
S87,559
S88,358
S89,507
S90,511
S91,519
S92,539
S93,611
S94,542
S95,557
S96,577
S97,532
S98,532
S99,537
S100,518
