Column1,Lambda_Max
Bovine,500
S1,502
S2,502
S3,481
S4,494
S5,494
S6,491
S7,486
S8,490
S9,490
S10,499
S11,493
S12,498
S13,495
S14,499
S15,492
S16,501
S17,488
S18,487
S19,498
S20,502
S21,500
S22,497
S23,488
S24,501
S25,504
S26,496
S27,500
S28,498
S29,505
S30,500
S31,490
S32,498
S33,502
S34,484
S35,488
S36,501
S37,488
S38,491
S39,503
S40,497.9
S41,503.8
S42,498
S43,499.4
S44,499.5
S45,489.5
S46,492.5
S47,481
S48,496
S49,497
S50,495.5
S51,499
S52,493
S53,493.5
S54,496.5
S55,491
S56,497.5
S57,496
S58,500
S59,500
S60,493
S61,500
S62,500
S63,491
S64,497
S65,494
S66,493
S67,492
S68,489
S69,498
S70,500
S71,491
S72,500
S73,503
S74,502
S75,494
S76,501
S77,501
S78,501
S79,501
S80,482
S81,502
S82,501
S83,502
S84,496
S85,485
S86,486
S87,486
S88,485
S89,496
S90,483
S91,526
S92,489
S93,492
S94,507
S95,486
S96,491
S97,479
S98,504
S99,489
S100,502
S101,491
S102,498
S103,479
S104,488
S105,486
S106,482
S107,482
S108,497
S109,526
S110,501
S111,507
S112,484
S113,504
S114,490
S115,489
S116,478
S117,511
S118,503
S119,488
S120,488
S121,501
S122,488
S123,494
S124,491
S125,492
S126,490
S127,501
S128,504
S129,495
S130,499
S131,498
S132,494
S133,501
S134,490
S135,502
S136,483
S137,500
S138,489
S139,489
S140,501
S141,485
S142,489
S143,492
S144,501
S145,499
S146,494
S147,491
S148,501
S149,482
S150,494
S151,488
S152,488
S153,482
S154,482
S155,490
S156,467
S157,496
S158,496
S159,492
S160,496
S161,488
S162,481
S163,495
S164,512
S165,511
S166,467
S167,480
S168,452
S169,459
S170,469
S171,496
S172,491
S173,482
S174,492
S175,494
S176,493
S177,492
S178,471
S179,489
S180,467
S181,467
S182,488
S183,505
S184,464
S185,464
S186,463
S187,465
S188,467
S189,465
S190,468
S191,466
S192,470
S193,471
S194,472
S195,536
S196,554
S197,499
S198,500
S199,497
S200,499
S201,508
S202,500
S203,497
S204,501
S205,502
S206,500
S207,501
S208,500
S209,502
S210,502
S211,501
S212,498
S213,499
S214,500
S215,489
S216,488
S217,484
S218,501
S219,498
S220,502
S221,502
S222,510
S223,514
S224,520
S225,512
S226,514
S227,492
S228,503
S229,505
S230,485
S231,502
S232,502
S233,500
S234,506
S235,502
S236,502
S237,503
S238,488
S239,511
S240,506
S241,495
S242,467
S243,503
S244,505
S245,508
S246,508
S247,505
S248,502
S249,498
S250,500
S251,499
S252,486
S253,479
S254,502
S255,452
S256,516
S257,492
S258,448
S259,516
S260,494
S261,447
S262,517
S263,486
S264,469
S265,516
S266,491
S267,460
S268,519
S269,491
S270,462
S271,517
S272,493
S273,493
S274,516
S275,508
S276,512
S277,508
S278,508
S279,510
S280,508
S281,508
S282,516
S283,515
S284,514
S285,516
S286,515
S287,516
S288,516
S289,514
S290,513
S291,514
S292,515
S293,469
S294,454
S295,463
S296,462
S297,487
S298,484
S299,477
S300,498
S301,453
S302,467
S303,476
S304,488
S305,505
S306,528
S307,519
S308,484
S309,502
S310,507
S311,508
S312,491
S313,504
S314,486
S315,504
S316,487
S317,508
S318,508
S319,508
S320,508
S321,509
S322,503
S323,488
S324,491
S325,491
S326,489
S327,505
S328,488
S329,489
S330,474
S331,524
S332,488
S333,499
S334,497
S335,495
S336,500
S337,478
S338,495
S339,493
S340,511
S341,491
S342,484
S343,499
S344,498
S345,501.7
S346,499
S347,500
S348,499
S349,482
S350,482
S351,482
S352,485
S353,482
S354,494
S355,490
