Column1,Lambda_Max
Bovine,500
S1,463
S2,458
S3,452
S4,465
S5,453
S6,359
S7,355
S8,423
S9,356
S10,358
S11,360
S12,393
S13,359
S14,415
S15,363
S16,414
S17,359
S18,358
S19,438
S20,420
S21,419
S22,420
S23,465
S24,453
S25,452
S26,458
S27,463
S28,359
S29,425
S30,358
S31,393
S32,415
S33,371
S34,424
S35,359
S36,358
S37,443
S38,437
S39,448
S40,441
S41,455
S42,359
S43,359
S44,397
S45,397
S46,382
S47,363
S48,405
S49,369
S50,371
S51,389
S52,358
S53,359
S54,438
S55,408
S56,353
S57,358
S58,439
S59,420
S60,358
S61,388
S62,419
S63,360
S64,360
S65,363
S66,357
S67,366
S68,380
S69,372
S70,419
S71,420
S72,361
S73,404
S74,450
S75,420
S76,360
S77,360
S78,435
S79,485
S80,416
S81,452
S82,466
S83,438
S84,408
S85,439
S86,405
S87,448
S88,397
S89,416
S90,443
S91,416
S92,418
S93,416
S94,417
S95,416
S96,417
S97,418
S98,417
S99,417
S100,417
S101,416
S102,419
S103,443
S104,443
S105,442
S106,440
S107,437
S108,441
S109,444
S110,443
S111,442
S112,442
S113,423
S114,368
S115,441
S116,361
S117,360
S118,359
S119,360
S120,360
S121,393
S122,359
S123,360
S124,361
S125,362
S126,361
S127,361
S128,361
S129,392
S130,392
S131,398
S132,392
S133,359
S134,377
S135,357
S136,383
S137,357
S138,369
S139,374
S140,374
S141,374
S142,374
S143,375
S144,375
S145,360
S146,393
S147,393
S148,366
S149,360
S150,398
S151,360
S152,360
S153,359
S154,383
S155,410
S156,389
S157,417
S158,421
S159,422
S160,360
S161,361
S162,404
S163,404
S164,408
S165,404
S166,418
S167,355
S168,380
S169,408
S170,385
S171,411
S172,421
S173,422
S174,361
S175,359
S176,394
S177,360
S178,355
S179,359
S180,361
S181,370
S182,359
S183,361
S184,357
S185,360
S186,391
S187,391
S188,360
S189,359
S190,363
S191,361
S192,358
S193,363
S194,363
S195,383
S196,385
S197,423
S198,365
S199,360
S200,360
S201,396
S202,414
S203,414
S204,381
S205,363
S206,405
S207,359
S208,359
S209,359
S210,359
S211,359
S212,359
S213,359
S214,359
S215,359
S216,359
S217,359
S218,359
S219,359
S220,359
S221,359
S222,359
S223,359
S224,359
S225,359
S226,381
S227,363
S228,403
S229,395
S230,412
S231,411
S232,360
S233,359
S234,352
S235,369
S236,367
S237,412
S238,416
S239,359
S240,360
S241,411
S242,360
S243,359
S244,376
S245,358
S246,358
S247,424
S248,430
S249,354
S250,351
S251,367
S252,361
S253,431
S254,403
S255,363
S256,403
S257,365
S258,363
S259,431
S260,443
S261,433
S262,363
S263,370
S264,365
S265,430
S266,353
S267,353
S268,415
S269,352
S270,365
S271,371
S272,429
S273,425
S274,439
S275,439
S276,438
S277,438
S278,438
S279,439
S280,438
S281,439
S282,442
S283,438
S284,439
S285,444
S286,448
S287,444
S288,449
S289,448
S290,450
S291,453
