kooi_id,Family,Genus,Species,First,Seco,Third,Fourth,Fifth,Sixth,Remaining
0,Pieridae,Colias,erate,360,440,480,580,660,,
1,Pieridae,Colias,erate,360,430,460,580,640,620,660
2,Pieridae,Leptidae,amurensis,360,440,450,520,,,
3,Pieridae,Pieris,brassicae,360,450,,560,560,,
4,Pieridae,Pieris,rapae crucivora,360,440,460,560,620,640,
5,Pieridae,Pieris,rapae crucivora,360,420,440,560,620,640,
6,Papillionidae,Graphium,sarpedon,360,400,460,480,500,540,"560,580,600,640"
7,Papillionidae,Papilio,aegeus,360,390,450,540,610,,
8,Papillionidae,Papilio,xuthus,360,400,460,520,600,,
9,Papillionidae,Troides,aeacus formosanum,360,390,440,510,540,550,"580,610,630"
10,Parnasiinae,Parnassius,glacialis,360,460,540,,,,
11,Nymphalidae,Sasakia,charonda,340,420,440,520,540,560,
12,Nymphalidae,Danaus,plexipus,340,435,540,,,,
13,Nymphalidae,Parantica,sita,360,440,520,560,,,
14,Nymphalidae,Heliconius,erato,360,390,470,560,600,,
15,Nymphalidae,Heliconius,erato,,390,470,560,600,,
16,Nymphalidae,Aglais,urticae,360,460,530,,,,
17,Nymphalidae,Polygonia,c-aureum,340,440,460,520,540,560,580
18,Nymphalidae,Asterocampa,celtis,,,,530,,,
19,Nymphalidae,Asterocampa,leilia,,,,530,,,
20,Nymphalidae,Archaeoprepona,demophon,,,,565,,,
21,Nymphalidae,Agraulis,vanillae,,,,555,,,
22,Nymphalidae,Heliconius,charithonia,,,,550,,,
23,Nymphalidae,Heliconius,hecale,,,,560,,,
24,Nymphalidae,Heliconius,sara,,,,550,,,
25,Nymphalidae,Limenitis,archippus archippus,,,,514,,,
26,Nymphalidae,Limenitis,archippus astyanax,,,,545,,,
27,Nymphalidae,Limenitis,archippus floridensis,,,,514,,,
28,Nymphalidae,Limenitis,lorquini,,,,530,,,
29,Nymphalidae,Limenitis,weidemeyerii,,,,530,,,
30,Nymphalidae,Anartia,jatrophae,,,,565,,,
31,Nymphalidae,Euphydryas,chalcedona,,,,565,,,
32,Nymphalidae,Inachis,io,,,,530,,,
33,Nymphalidae,Junonia,coenia,,,,510,,,
34,Nymphalidae,Nymphalis,antiopa,,,,534,,,
35,Nymphalidae,Polygonia,c-album,350,445,532,,,,
36,Nymphalidae,Siproeta,stelenes,,,,522,,,
37,Nymphalidae,Vanessa,cardui,,,,530,,,
38,Nymphalidae,Hermeuptychia,hermes,,,,530,,,
39,Nymphalidae,Neominois,ridingsii,,,,515,,,
