porter2005_id,Full_Species,Habitat,method,LambdaMax,Reference,Accession
0,Artemia salina,,EON,410,(Hertel 1972),
1,Daphnia magna,,VC,"348, 434, 525, 608",(Smith and Macagno 1990),
2,Acartia tonsa,,BP,450-520,(Stearns and Forward 1984),
3,Balanus amphitrite,,ERG,532,(Hillman et al. 1973),
4,Balanus amphitrite,,MSP,532,(Minke and Kirschfield 1978),
5,Balanus balanoides,,BP,510-530,(Barnes and Klepal 1972),
6,Balanus eburneus,,ERG,532,(Hillman et al. 1973),
7,Balanus eburneus,,MSP,532,(Minke and Kirschfield 1978),
8,Coronis scolopendra,ST,MSP,"494, 407, 436, 489, 518, 529, 533, 441, 468, 517",(Cronin et al. 1993),
9,Lysiosqullia sulcata,5-25m,MSP,"499, 397, 434, 492, 516, 517, 538, 416, 461, 500",(Cronin et al. 1993),
10,Pullosquilla litoralis,sIT,MSP,"509, 404, 425, 469, 509, 527, 540, 446, 455, 482",(Jutte et al. 1998b),
11,Pullosquilla litoralis,,MSP,446,(Jutte et al. 1998a),
12,Pullosquilla thomassini,1-37m,MSP,"467, 405",(Jutte et al. 1998b),
13,Pullosquilla thomassini,,MSP,447,(Jutte et al. 1998a),
14,Gonodactylellus affinis,3-30m,MSP,"500, 400, 424, 496, 521, 546, 541, 454, 474, 509",(Cronin et al. 2002),
15,Gonodactylaceus falcatus,,MSP,"510, 400, 443, 513, 527, 532, 553, 443, 475, 518",(Cronin et al. 2000;Cronin et al. 1995),
16,Gonodactylaceus falcatus,,MSP,499,(Cronin et al. 1995),
17,Gonodactylus smithii,IT,MSP,"517, 400, 440, 505, 528, 536, 552, 436, 469, 512",(Chiao et al. 2000),
18,Gonodactylopsis spongicola,5-60m,MSP,"506, 401, 444, 505, 525, 536, 474, 507,448",(Cronin et al. 2002),
19,Neogonodactylus curacaoensis,2-20m,MSP,"467, 400",(Cronin et al. 1996),
20,Neogonodactylus oertstedii,IT-3m,MSP,"528, 400, 525, 520, 551, 429, 460, 489",(Cronin and Marshall 1989)(Brown 1996),
