Family,Genus,Species,LambdaMax
Acipenseridae,Acipenser,baerii,549
Acipenseridae,Acipenser,medirostrus,540
Acipenseridae,Acipenser,ruthenus,545
Acipenseridae,Acipenser,transmontanus,540
Acipenseridae,Scaphirhynchus,albus,538
Acipenseridae,Scaphirhynchus,platorynchus,534
Polyodontidae,Polyodon,spathula,540
Albulidae,Albula,vulpes,500
Alepocephalidae,Bellocia ,koefoedi,477
Alepocephalidae,Conocara,macroptera,478
Alepocephalidae,Conocara,macroptera,476
Alepocephalidae,Conocara,salmonea,476
Alepocephalidae,Rouleina,attrita,485
Alepocephalidae,Rouleina,maderensis,477
Alepocephalidae,Talismania,antillarum,476
Alepocephalidae,Xenodermichthys ,copei,478
Platytroctidae,Barbantus,curvifrons,478
Platytroctidae,Platytroctes,apus,475
Platytroctidae,Searsia,koefoedi,476
Platytroctidae,Searsia,koefoedi,480
Amiidae,Amia,calva,527
Anguillidae,Anguilla,anguilla,482
Anguillidae,Anguilla,bicolor,494
Anguillidae,Anguilla,japonica,497
Derichthydae,Derichthys,serpentinus,489
Muraenidae,Gymnothorax,favagineus,487
Muraenidae,Gymnothorax,reticularis,486
Muraenidae,Rhinomuraena,quaesita,498
Muraenidae,Strophidon,sathete,487
Synaphobranchidae,Histiobranchus,bathybius,477
Synaphobranchidae,Histiobranchus,bathybius,476
Synaphobranchidae,Histiobranchus,bathybius,477
Synaphobranchidae,Synaphobranchus,kaupii,478
Argentinidae,Argentina,silus,483
Opisthoproctidae,Opisthoproctus,grimaldii,480
Atherinidae,Atherina,boyeri,511
Atherinidae,Atherina,boyeri,509
Melanotaeniidae,Melanotaenia,maccullochi,509
Telmatherinidae,Marosatherina,ladigesi,507
Bathysauridae,Bathysaurus,ferox,478
Bathysauridae,Bathysaurus,mollis,477
Notosudidae,Ahliesaurus,berryi,487
Scopelarchidae,Benthalbella ,infans,451
Scopelarchidae,Scopelarchus,analis,507
Scopelarchidae,Scopelarchus,analis,445
Scopelarchidae,Scopelarchus,analis,503
Scopelarchidae,Scopelarchus,analis,479
Synodontidae,Synodus,variegatus,493
Batrachoididae,Opsanus,tau,503
Belonidae,Belone,belone,509
Melamphaidae,Melamphaes,suborbitalis,482
Melamphaidae,Poromitra,capito,481
Melamphaidae,Poromitra,megalops,487
Melamphaidae,Scopelogadus,beanii,482
Blennidae,Lipophrys,pholis,515
Centrarchidae,Lepomis,macrochirus,538
Characidae,Astyanax,fasciatus,520
Characidae,Paracheirodon,innesi,523
Serrasalmidae,Metynnis,argenteus,533
Cichlidae,Aequidens,pulcher,507
Cichlidae,Aequidens,pulcher,501
Cichlidae,Amphilophus,longimanus,525
Cichlidae,Astatotilapia,burtoni,500
Cichlidae,Aulonocara,hueseri,496
Cichlidae,Copadichromis,borleyi,494
Cichlidae,Crenicichla,frenata,520
Cichlidae,Cynotilapia,afra,496
Cichlidae,Dimidiochromis,compressiceps,498
Cichlidae,Haplochromis,azurea,503
Cichlidae,Haplochromis,ishmaeli,507
Cichlidae,Haplochromis,nyererei,505
Cichlidae,Haplochromis,piceatus,503
Cichlidae,Haplochromis,pyrrhocephalus,519
Cichlidae,Lethrinops,parvidens,489
Cichlidae,Melanochromis,auratus,497
Cichlidae,Melanochromis,vermivorus,505
Cichlidae,Metriaclima,barlowi,491
Cichlidae,Metriaclima,livingstonii,495
Cichlidae,Metriaclima,melabranchion,491
Cichlidae,Mylochromis,lateristriga,496
Cichlidae,Protomelas,taeniolatus,496
Cichlidae,Pseudotropheus,acei,505
Cichlidae,Pseudotropheus,tropheops,510
Cichlidae,Pundamilia,luanso,505
Cichlidae,Pundamilia,pundamilia,506
Cichlidae,Tramitichromis,intermedius,505
Cichlidae,Tyrannochromis,macrostoma,494
Chimaeridae,Chimaera,monstrosa,485
Chimaeridae,Hydrolagus,mirabilis,475
Rhinochimaeridae,Hariotta,raleighana,481
Clupeidae,Clupea,harengus,503
Clupeidae,Clupea,pallasii,501
Clupeidae,Sardinops,sagax,502
Cyprinidae,Abramis,brama,537
Engraulidae,Engraulis,japonicus,502
Engraulidae,Engraulis,mordax,498
Anablepidae,Anableps,anableps,506
Cyprinidae,Alburnus,alburnus,515
Cyprinidae,Ballerus,ballerus,518
Cyprinidae,Blicca,bjoerkna,539
Cyprinidae,Carassius,auratus,522
Cyprinidae,Carassius,carassius,526
Cyprinidae,Cyprinus,carpio,525
Cyprinidae,Danio,malabaricus,505
Cyprinidae,Puntigrus,tetrazona,504
Cyprinidae,Scardinius,erythrophthalmus,537
Cyprinidae,Scardinius,erythrophthalmus,515
Cyprinidae,Tinca,tinca,533
Cyprinidae,Tribolodon,hakonensis,522
Cyprinodontidae,Cyprinodon,variegatus,506
Cyprinodontidae,Jordanella,floridae,511
Elopidae,Elops ,saurus,518
Fundulidae,Fundulus,heteroclitus,503
Poeciliidae,Micropoecilia,parae,503
Poeciliidae,Poecilia,formosa,504
Poeciliidae,Poecilia,latipinna,503
Poeciliidae,Poecilia,mexicana,504
Poeciliidae,Poecilia,reticulata,503
Esocidae,Esox,lucius,521
Megalopidae,Megalops,atlanticus,500
Aulorhynchidae,Aulorhynchus,flavidus,499
Gadidae,Gaidropsarus,mediterraneus,512
Gadidae,Microgadus,proximus,497
Gadidae,Pollachius,pollachius,498
Gadidae,Theragra,chalcogramma,500
Macrouridae,Caelorhinchus,labiatus,479
Macrouridae,Coryphaenoides,armatus,483
Macrouridae,Coryphaenoides,carapinus,484
Macrouridae,Coryphaenoides,carapinus,482
Macrouridae,Coryphaenoides,leptolepis,482
Macrouridae,Coryphaenoides,profundicolus,483
Macrouridae,Coryphaenoides,profundicolus,482
Macrouridae,Echinomacrurus,mollis,478
Macrouridae,Malacocephalus,laevis,486
Melanonidae,Melanonus,zugmayeri,490
Merlucciidae,Merluccius,productus,495
Moridae,Antimora ,rostrata,483
Moridae,Halargyreus,johnsonii,490
Moridae,Lepidion ,eques,486
Moridae,Mora,moro,488
Gasterosteidae,Gasterosteus,aculeatus,509
Gasterosteidae,Spinachia,spinachia,510
Gobiesocidae,Gobiesox,maeandricus,500
Gobiidae,Asterropteryx,semipunctata,498
Gobiidae,Clevelandia,ios,520
Gobiidae,Gobius,paganellus,512
Gobiidae,Gobiusculus,flavescens,508
Gobiidae,Pomatoschistus,minutus,508
Holocentridae,Myripristis,berndti,495
Holocentridae,Myripristis,berndti,506
Holocentridae,Neoniphon,sammara,502
Holocentridae,Sargocentron,xantherythrum,490
Istiophoridae,Istiophorus, platypterus,484
Lepisostedidae,Lepisosteus,platostomus,529
Myctophidae,Benthosema,suborbitale,487
Myctophidae,Diaphus,holti,491
Myctophidae,Diaphus,rafinesquei,488
Myctophidae,Electrona,risso,482
Myctophidae,Lampanyctus,crocodilus,487
Myctophidae,Lampanyctus,festivus,489
Myctophidae,Lobianchia,gemellarii,485
Myctophidae,Nannobrachium,atrum,483
Myctophidae,Notoscopelus,resplendens,486
Myctophidae,Taaningichthys,bathyphilus,487
Halosauridae,Halosauropsis,macrochir,481
Notacanthidae,Notacanthus,bonapartei,481
Ophidiidae,Dicrolene,intronigra,479
Bathylagidae,Bathylagus,greyae,488
Bathylagidae,Bathylagus,longirostris,474
Microstomatidae,Microstoma,microstoma,479
Microstomatidae,Nansenia,longicauda,479
Osmeridae,Hypomesus,pretiosus,500
Osmeridae,Osmerus,dentex,516
Osmeridae,Osmerus,eperlanus,518
Osmeridae,Spirinchus,thaleichthys,499
Acanthuridae,Acanthurus,achilles,496
Acanthuridae,Acanthurus,nigroris,494
Acanthuridae,Acanthurus,triostegus,493
Acanthuridae,Ctenochaetus,strigosus,486
Acanthuridae,Naso,lituratus,497
Acanthuridae,Naso,unicornis,494
Acanthuridae,Zebrasoma,flavescens,494
Acanthuridae,Zebrasoma,velifer,494
Ammodytidae,Ammodytes,hexapterus,470
Ammodytidae,Hyperoplus,lanceolatus,486
Apogonidae,Pristiapogon,kallopterus,492
Bathymasteridae,Ronquilus,jordani,492
