Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,gbr,1,0.9182402660755509,10.021067670904163,0.021794376778769133,269.74176653374377,16.22846680237624
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,xgb,1,0.9037779909008865,10.068680188689424,0.021886058725185224,326.30873422558574,17.10663639110467
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,BayesianRidge,1,0.8990203883406602,10.893821853779613,0.024053217823629718,342.5468877018645,17.38615261627416
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,rf,1,0.8950951315456557,10.326363005750096,0.022821496847241877,347.02860036224564,18.05782084035266
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,lgbm,1,0.8940589502395875,10.881975150221704,0.023939580865492565,353.43364328254813,18.122829026668512
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,dt,1,0.8913553914593042,10.492741377472903,0.02259254777943456,348.16205758631367,18.040267666880123
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,et,1,0.8905534937813344,10.721687956613698,0.023100898208771828,351.2175280957165,18.349841145575176
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,HubR,1,0.8748500854421424,12.79559055200271,0.02753819188531963,409.7654467427701,20.04131606699887
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,Adaboost,1,0.8559566942119657,14.04411316841356,0.03101693526620744,488.8966197556251,21.041332613978557
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,LassoLars,1,0.8508221680002759,14.547989803851062,0.032040757515093235,500.7066956895079,21.684916660046913
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,Lasso,1,0.8508198290731016,14.548240587938045,0.03204129663935136,500.71383413161476,21.685138074084158
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,lr,1,-6.276622533503835e+16,7035732529.690962,15310803.154682297,2.1096871144443435e+20,10522214907.648937
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,BayesianRidge,3,0.9087753897436948,10.808588240061159,0.023943176730476082,297.4574131078515,16.505746591318417
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,gbr,3,0.9054693905422203,10.563890812513957,0.023057683728826762,306.3825675338213,16.78820569537112
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,HubR,3,0.8932323144294999,12.501901804930302,0.026959443978540887,358.77606665861475,18.09100772542063
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,xgb,3,0.8925223406423912,10.410744889320819,0.0226800751538033,344.7339489808243,17.06819767213198
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,lgbm,3,0.8797259836605296,11.791102372854724,0.02614624499239277,389.03015762085977,18.63826538248191
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,rf,3,0.8788117445695212,11.387946940360857,0.025351917868933167,391.80168953968325,18.71791068981034
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,et,3,0.8629473876823953,11.74624335425274,0.02493355417762941,442.4100343013024,19.571218079324076
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,Adaboost,3,0.8557578853838461,14.802640897991733,0.03277116323608734,466.9780296707278,21.049957511207193
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,Lasso,3,0.8468006188316721,14.494216532359232,0.031591945822747984,494.427877634456,21.5729996025806
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,LassoLars,3,0.8467533938886319,14.495663761082051,0.031595020328936595,494.5782691862629,21.57629231837357
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,dt,3,0.8008124785931556,13.25271944729607,0.0285369872698573,657.89784979915,23.559581890569156
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,lr,3,-1.3145319839847534e+17,11132540512.705347,24620803.4083486,4.684329619537357e+20,16714023001.049875
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,BayesianRidge,5,0.9008867836685314,12.07061097416591,0.02661953853474147,339.3914505128171,17.54885927172394
wt_vpod_1.2_LG_F_R7.treefile,leave_out,5,gbr,5,0.8935757352868825,11.625226438227028,0.025523585966917027,359.5703689021313,18.254860084636064
