refid,searchid,doi
54,1,10.1021/bi00052a027
116,5,10.1017/S0952523812000223
117,5,10.1021/bi00456a013
120,5,10.1562/2006-06-19-RA-939
121,5,10.1016/j.gene.2007.04.036
123,5,10.1523/JNEUROSCI.12-10-03862.1992
124,5,10.1021/bi0160011
127,5,10.1073/pnas.0802426105
129,5,10.1021/bi025656e
132,5,10.1016/j.gene.2005.09.028
133,5,10.1093/molbev/msp089
137,5,10.1096/fj.06-8057com
138,5,10.1093/molbev/msi086
144,5,10.1017/s095252380017511x
155,5,10.1016/s1350-9462(00)00002-1
159,5,10.1002/2211-5463.12843
160,6,10.1093/molbev/msh217
163,6,10.1073/pnas.0405302102
164,6,10.1093/molbev/msq344
167,3,10.1093/oxfordjournals.molbev.a004211
170,8,10.1073/pnas.94.6.2322
286,17,10.1021/bi972500j
347,24,https://doi.org/10.1186/s40851-019-0150-2
349,24,15;267(14):9478-80
350,16,https://doi.org/10.1073/pnas.2008986118
353,25,http://dx.doi.org/10.1016/j.visres.2016.06.013
354,25,10.1186/1471-2148-13-250
355,25,10.1021/bi049478w
357,25,10.1074/jbc.M115.677765
358,25,10.1021/bi991600h
359,26,10.1074/jbc.M117.793539
360,26,10.1371/journal.pone.0015015
361,26,10.1242/jeb.071084
362,26,https://doi.org/10.1242/jeb.108456
363,26,10.1242/jeb.006064
364,26,10.1016/j.gene.2003.08.002
367,26,10.1093/gbe/evaa111
368,26,10.1371/journal.pcbi.1008212
371,26,10.1371/journal.pcbi.1005974
373,26,10.1074/jbc.M413001200
376,27,https://doi.org/10.1242/jeb.242929
378,27,https://doi.org/10.1042/bj20020483
379,27,https://doi.org/10.1093/molbev/msm109
380,27,https://doi.org/10.1093/molbev/msu304
384,27,10.1016/j.visres.2004.04.008
386,27,10.1021/bi002937i
387,27,https://doi.org/10.1016/j.cub.2005.08.010
389,28,https://doi.org/10.1073/pnas.96.11.6279
409,28,https://doi.org/10.1021/bi0200413
410,28,https://www.jstor.org/stable/3139923
411,28,https://doi.org/10.1534/genetics.105.045849
413,28,https://doi.org/10.1073/pnas.201257398
414,28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1461741/pdf/11545071.pdf
415,28,10.1534/genetics.104.039511
416,28,https://doi.org/10.1098/rstb.2021.0279
418,28,https://doi.org/10.1093/molbev/msad023
419,28,https://doi.org/10.1093/molbev/msad063
420,28,https://doi.org/10.1093/molbev/msad030
421,28,doi.org/10.1021/ja409896y
424,28,https://doi.org/10.1186/s12862-020-01725-1
425,28,https://doi.org/10.1021/bi015584b
426,28,https://doi.org/10.1016/S0378-1119(03)00424-4
427,28,10.1534/genetics.108.090449
441,30,https://doi.org/10.1098/rstb.2021.0274
442,30,https://doi.org/10.1073/pnas.1219416110 
483,30,https://doi.org/10.1523/JNEUROSCI.23-34-10873.2003
500,30,https://doi.org/10.1038/s41598-017-07461-9
504,30,https://doi.org/10.1074/jbc.M304567200 
