,R2,MAE,MSE,RMSE,MAPE
gbr,0.8293643312318604,9.06474365924141,157.25155658693637,12.472876563224693,0.01689454341122649
rf,0.8286644102508495,8.483863603833216,157.37987866329965,12.485255677596713,0.015772908440320428
lgbm,0.8261553958811522,8.704143543602033,159.409057283837,12.568076247555409,0.01622757259394896
xgb,0.82244753241539,8.56357661200417,161.9976331683487,12.64585234422287,0.015955506901602672
et,0.8177841294524395,8.570879277210057,167.94086189257519,12.890960642368313,0.01594628298106338
dt,0.7738748930214833,9.113472849859996,203.89116697660333,14.048583091799594,0.0169323782130861
BayesianRidge,0.7375042393928852,11.412312942399002,241.79966354723064,15.463824259916953,0.021157577817899554
Adaboost,0.7252930062642471,12.659527184019298,256.10950808860235,15.951610982422391,0.023585748343686576
Lasso,0.5536291214963354,15.795458847667216,419.75238335766863,20.431679979275952,0.029477500509940552
LassoLars,0.5536232639767578,15.79555983582963,419.7579525406207,20.43182549200933,0.029477706258634946
HubR,0.24558909754627528,15.021028647282602,677.5253028131795,25.095540951365116,0.027959380902136854
lr,-2.1690785169433821e+24,10384167352856.379,2.1320409815676929e+27,42387991295606.89,19721676744.08152
