feature,gbr,xgb,rf,BayesianRidge,mean
1_H3,1.241121709767046e-06,1.7321299310424365e-06,0.00019501686984598003,0.38646352383084964,0.09666537848808411
1_PKB,2.0719791557703795e-06,2.7884416340384632e-05,0.002212074149437376,0.03692056752142504,0.009790649516589645
2_H3,0.0,3.6543167425406864e-07,0.00023902072724108463,0.12485496376767541,0.031273587481647686
2_PKB,0.01935220805252848,0.00014061601541470736,0.02613172634055334,0.020156199289651733,0.016445187424537065
3_H2,0.0,1.822379203986202e-06,0.0004610415901524131,0.10116301129343731,0.025406468815698427
3_H3,5.267311306313588e-09,3.326903606648557e-05,5.2469709182798067e-05,0.47688564718349524,0.11924284779901395
3_PKB,0.0006201788103809508,1.3168366422178224e-05,0.00023486038857600683,0.022402293183536856,0.005817625187228998
4_H2,0.0,5.476631031342549e-06,0.00037627331862921616,0.0761428588271866,0.01913115219421179
4_H3,0.0,2.609292459965218e-05,0.00016181644915088365,0.12744249889998543,0.031907602068433995
4_PKB,0.0005114828699847207,6.181122898851754e-06,0.00040472042740375503,0.04269374669199285,0.010904032778070043
5_H2,0.0,2.795471232275304e-08,1.2570283317918427e-05,0.4362211849311503,0.10905844579229514
5_H3,0.0,0.0,2.11747925561704e-05,0.03302104627438751,0.00826055526673592
6_H2,0.0,1.7228122715096106e-06,8.9372517816378e-05,0.020821244777198156,0.005228085026821511
6_PKB,2.3863069088481404e-05,1.3353519534575753e-06,1.9302211663338138e-05,0.019275703511987537,0.0048300510361732035
7_H2,0.001398749924359207,9.80070217337925e-06,0.0006105971232129944,0.14376186181979717,0.036445252392385684
7_H3,0.0,1.0565268894424662e-05,1.787186853784681e-05,0.019827491125123733,0.004963982065639002
7_PKB,5.094026177848122e-06,5.843798498972319e-05,0.00039244262557642975,0.037057866804560385,0.009378460360326097
9_H2,3.618083201662601e-05,2.61683703683957e-06,0.00016303589045581112,0.0793035866147618,0.01987635504356777
10_H2,0.0,7.458654067704629e-07,0.013008772034476224,0.2502954117147646,0.0658262324036619
10_H3,0.0,0.00023204593162517995,0.00035907457045184746,0.42810717523840197,0.10717457393511975
11_H2,0.0,5.709958713850938e-06,0.00014338567789182988,0.07192097480102272,0.0180175176094071
11_H3,0.0,4.6604395897986706e-09,6.812512890026565e-05,0.04600462067044249,0.011518187614945587
11_PKB,0.0,5.216901627136394e-06,0.00013286327982894706,0.048947833960085896,0.012271478535385495
12_H2,0.00010988852131448212,1.4849923957171995e-08,0.004458040446315503,0.0833105096783667,0.021969613373980162
