murwes_id,Full_Species,LambdaMax,SD,N,refid,Lineage
0,Aglais urticae,360,–,†,[1],Arthropod
1,Agraulis vanillae,370,–,†,[2],Arthropod
2,Alima pacifica,467,–,5,[4],Arthropod
3,Antheraea polyphemus,355,–,20,[5],Arthropod
4,Apodemia mormo,556,–,†,[3],Arthropod
5,Archaeomysis grebnitzkii,496,4.1,12,[6],Arthropod
6,Archaeopropona demophon,554,–,†,[3],Arthropod
7,Asterocampa leilia,555,1.5,†,[3],Arthropod
8,Balanus amphitrite,495,–,†,[7],Arthropod
9,Balanus eburneus,495,–,†,[7],Arthropod
10,Bombus terrestris,346.86,6.83,†,[8],Arthropod
11,Bombyx mori,350,–,†,[9],Arthropod
12,Calappa flammea,485.2,4.7,13-Feb,[10],Arthropod
13,Callinectes ornatus,498.5,5.5,15-Feb,[10],Arthropod
14,Callinectes sapidus,477,3,66*,[11],Arthropod
15,Cambarellus shufeldtii,526,–,3,[13],Arthropod
16,Cambarus ludovicianus,528,–,3,[13],Arthropod
17,Cataglyphis bicolor,347,–,†,[14],Arthropod
18,Clibanarius vittatus,509.6,8.2,13-Feb,[10],Arthropod
19,Coenobita clypeatus,506.2,14.3,13-Feb,[10],Arthropod
20,Coenobita rugosa,489.5,11,13-Apr,[10],Arthropod
21,Colias erate,352,–,†,[15],Arthropod
22,Deilephila elpenor,440,–,†,[16],Arthropod
23,Engaeus cunicularius,526,–,3,[13],Arthropod
24,Euphausia superba,485,–,†,[17],Arthropod
25,Euphydryas chalcedona,370,–,†,[2],Arthropod
26,Eurypanopeus depressus,490.1,3,20-Apr,[10],Arthropod
27,Funchalia villosa,489,–,6,[18],Arthropod
28,Gecarcinus lateralis,485.2,4,13-Feb,[10],Arthropod
29,Gonodactylellus affinis,445,–,2,[20],Arthropod
30,Gonodactylus oerstedii,345,–,†,[21],Arthropod
31,Gonostoma bathyphilum,481,–,30,[22],Arthropod
32,Gonostoma elongatum,483,–,†,[23],Arthropod
33,Gryllus bimaculatus,348,–,24,[24],Arthropod
34,Heliconius charithonia,549,1.5,†,[3],Arthropod
35,Heliconius erato,551,1.5,†,[3],Arthropod
36,Heliconius hecale,396,–,†,[2],Arthropod
37,Heliconius melpomene,557,–,†,[2],Arthropod
38,Heliconius numata,400,–,†,[25],Arthropod
39,Hemicordulia tau,220,–,†,[26],Arthropod
40,Hemigraspus edwardsi,513,–,†,[27],Arthropod
41,Hemigraspus sanguineus,480,–,10,[28],Arthropod
42,Hemisquilla ensigera,414,–,11,[21],Arthropod
43,Hepatus epheliticus,486.6,4.6,17-Feb,[10],Arthropod
44,Hermeuptychia hermes,515,–,†,[3],Arthropod
45,Holmesimysis costata,512,6.8,10,[29],Arthropod
46,Homarus americanus,515,–,†,[30],Arthropod
47,Inachis io,530,,,[32],Arthropod
48,Ischnura heterosticta,360,,61,[33],Arthropod
49,Janicella spinacauda,500,,4*,[18],Arthropod
50,Junonia coenia,510,–,†,[32],Arthropod
51,Leptograspus variegatus,513,2,†,[27],Arthropod
52,Libinia dubia,488.7,2.2,20-Feb,[10],Arthropod
53,Libinia emarginata,493,–,†,[34],Arthropod
54,Limenitis archippus,514,–,†,[3],Arthropod
55,Limenitis lorquini,530,–,†,[3],Arthropod
56,Limenitis weidemeyerii,530,–,†,[3],Arthropod
57,Limulus polyphemus,520,–,378,[35],Arthropod
58,Lycaena rubidus,360,–,†,[36],Arthropod
59,Lysiosquillina maculate,501,–,3,[20],Arthropod
60,Malacosteus niger,425,–,3*,[37],Arthropod
61,Mamestra brassicae,350,–,†,[9],Arthropod
62,Meganyctiphanes norvegica,488,–,†,[17],Arthropod
63,Melamphaes suborbitalis,482,–,27,[22],Arthropod
64,Myrmecia croslandi,370,–,†,[39],Arthropod
65,Myrmecia vindex,370,–,8,[39],Arthropod
66,Mysis diluviana,503,9,6,[29],Arthropod
67,Mysis relicta,520,–,†,[41],Arthropod
68,Mysis salemaai,521.2,0.4,3,[40],Arthropod
69,Nematobrachion boopis,487,–,2,[18],Arthropod
70,Nematobrachion sexpinosum,478,–,3,[18],Arthropod
71,Neogonodactylus oerstedii,208,–,†,[43],Arthropod
72,Neominois ridingsii,531,–,†,[3],Arthropod
73,Neomysis americana,520,3.4,13,[29],Arthropod
74,Notostomus elegans,490,–,10,[18],Arthropod
75,Notostomus gibbosus,490,–,10,[18],Arthropod
76,Nymphalis antiopa,382,–,†,[2],Arthropod
77,Odontodactylus brevirostris,402,–,8,[21],Arthropod
78,Odontodactylus scyllarus,400,–,10,[21],Arthropod
79,Oeneis chryxus,531,–,†,[3],Arthropod
80,Oplophorus sp.,405,–,2*,[18],Arthropod
81,Orconectes virilis,510,–,†,[30],Arthropod
82,Pagurus annulipes,492.7,10.9,6-Mar,[10],Arthropod
83,Pagurus longicarpus,513.9,6.9,15-Mar,[10],Arthropod
84,Pandalus borealis,475,–,50*,[44],Arthropod
85,Panopeus herbstii,493,2.1,10-Feb,[10],Arthropod
86,Panopeus obesus,493.5,1.9,10-Feb,[10],Arthropod
87,Papilio xuthus,360,–,†,[45],Arthropod
88,Pasiphaea multidentata,497,–,6,[18],Arthropod
89,Photinus versicolor,380,–,10,[46],Arthropod
90,Phronima sedenteria,470,–,6,[18],Arthropod
91,Pieris brassicae,360,–,†,[47],Arthropod
92,Pieris rapae,340,–,†,"[9,48–50]",Arthropod
93,Pilumnus sayi,489.1,3.3,15-Feb,[10],Arthropod
94,Platyberyx opalescens,474,–,†,[23],Arthropod
95,Pleuroncodes planipes,503,–,150*,[51],Arthropod
96,Procambarus clarkii,556,–,†,[30],Arthropod
97,Procambarus milleri,522,–,3,[13],Arthropod
98,Pseudosquilla ciliata,403.17,6.46,†,[52],Arthropod
99,Pullosquilla litoralis,446,–,5,[53],Arthropod
100,Pullosquilla thomassini,447,–,4,[53],Arthropod
101,Rhithropanopeus harrisii,495.2,2.1,12-Feb,[10],Arthropod
102,Rynchophorus ferrugineus,366,6,3,[54],Arthropod
103,Schistocerca gregaria,441,–,20,[55],Arthropod
104,Sergestes arcticus,495,–,4,[18],Arthropod
105,Sergestes corniculum,500,–,4,[18],Arthropod
106,Sergia grandis,500,–,5,[18],Arthropod
107,Sesarma cinereum,491.1,13.8,12-Feb,[10],Arthropod
108,Sesarma reticulatum,492.4,5.9,18-Feb,[10],Arthropod
109,Siproeta stelenes,522,–,†,[32],Arthropod
110,Speyeria leto,551,–,†,[2],Arthropod
111,Stylocheiron maximum,479,–,5,[18],Arthropod
112,Sympetrum sp.,420,–,7,[26],Arthropod
113,Systellaspis debilis,400,–,15*,[18][56],Arthropod
114,Thysanopoda orientalis,478,–,3,[18],Arthropod
115,Uca pugilator,508,–,†,[12],Arthropod
116,Uca pugnax,508,–,†,[12],Arthropod
117,Xenos peckii,345.9,4.1,7,[57],Arthropod
118,Abramis brama,537.2,0.9,3,[58],Chordate
119,Abudefduf abdominalis,347,3.6,8,[59],Chordate
120,Abyssocottus korotneffi,481.3,1,5,[60],Chordate
121,Acanthephyra curtirostris,510,–,14*,[18],Chordate
122,Acanthephyra smithi,510,–,14*,[18],Chordate
123,Acanthropagrus berda,472,4.2,5,[61],Chordate
124,Acanthropagrus major,460,6.1,3,[61],Chordate
125,Acanthropagrus schlegelii,471,5.7,3,[61],Chordate
126,Acanthurus achilles,496,1.9,4,[59],Chordate
127,Acanthurus nigroris,439,3.4,10,[59],Chordate
128,Acanthurus triostegus,458,6.8,7,[59],Chordate
129,Acerina cernua,531.8,1.8,5,[58],Chordate
130,Acipenser fulvescens,448,1,7,[62],Chordate
131,Ailuroedus crassirostris,504.6,1.5,†,[63],Chordate
132,Alburnus alburnus,514.6,0.2,4,[58],Chordate
133,Alepocephalus australis,475,–,†,[23],Chordate
134,Alligator mississippiensis,500,–,†,[64],Chordate
135,Anas platyrhynchus,415,9.5,2-Apr,[65],Chordate
136,Anchoa mitchilli,501,4,10,[66],Chordate
137,Anguilla Anguilla,506.2,1.2,62,[67],Chordate
138,Antimora rostrata,475,–,†,[23],Chordate
139,Aotus trivirgatus,505,–,2*,[68],Chordate
140,Apogon kallopterus,441,3.7,4,[59],Chordate
141,Aptychotrema rostrata,457.7,6.4,10,[69],Chordate
142,Argyropelecus aculeatus,477,–,†,[23],Chordate
143,Argyropelecus gigas,477,–,33,[70],Chordate
144,Argyropelecus hemigymnus,478,–,†,[23],Chordate
145,Aristostomias tittmanni,518,–,3*,[71],Chordate
146,Arothron meleagris,439,1.2,5,[59],Chordate
147,Asprocottus intermediius,488,1,5,[72],Chordate
148,Asteropteryx semipunctatus,498,1.5,9,[59],Chordate
149,Astyanax fasciatus,404,3,2,[73],Chordate
150,Atherinops affinis,510,–,36,[74],Chordate
151,Aulostomus chinensis,421,2.1,2,[59],Chordate
152,Axoclinius carminalis,500,1,30,[75],Chordate
