	Lambda_Max	Species	Opsin_Family	Phylum	Accession
Bovine	500.0000	Bos_tarus	Rh1	Chordata	NM_001014890
S1	502.00000	Neoniphon_sammara	Rh1	Chordata	U57536.1
S2	502.00000	Neoniphon_argenteus	Rh1	Chordata	U57540.1
S3	481.00000	Neoniphon_aurolineatus	Rh1	Chordata	U57541.1
S4	494.00000	Sargocentron_punctatissimum	Rh1	Chordata	U57543.1
S5	494.00000	Sargocentron_microstoma	Rh1	Chordata	U57542.1
S6	491.00000	Sargocentron_diadema	Rh1	Chordata	U57537.1
S7	486.00000	Sargocentron_xantherythrum	Rh1	Chordata	U57546.1
S8	490.00000	Sargocentron_spiniferum	Rh1	Chordata	U57544.1
S9	490.00000	Sargocentron_tiere	Rh1	Chordata	U57545.1
S10	499.00000	Myripristis_violacea	Rh1	Chordata	U57539.1
S11	493.00000	Myripristis_berndti	Rh1	Chordata	U57538.1
S12	498.00000	Altolamprologus_calvus	Rh1	Chordata	AB458132.1
S13	495.00000	Aulonocara_sp.	Rh1	Chordata	AB185214.1
S14	499.00000	Altolamprologus_calvus	Rh1	Chordata	AB084924.1
S15	492.00000	Baileychromis_centropomoides	Rh1	Chordata	AB185217.1
S16	501.00000	Bathybates_fasciatus	Rh1	Chordata	AB185218.1
S17	488.00000	Benthochromis_tricoti	Rh1	Chordata	AB084927.1
S18	487.00000	Cyphotilapia_frontosa	Rh1	Chordata	AB084929.1
S19	498.00000	Cyprichromis_leptosoma	Rh1	Chordata	AB084930.1
S20	502.00000	Dimidiochromis_compressiceps	Rh1	Chordata	AB084931.1
S21	500.00000	Diplotaxodon_macrops	Rh1	Chordata	AB185220.1
S22	497.00000	Gnathochromis_permaxillaris	Rh1	Chordata	AB084932.1
S23	488.00000	Greenwoodochromis_bellcrossi	Rh1	Chordata	AB185221.1
S24	501.00000	Haplochromis_sp.	Rh1	Chordata	AB084933.1
S25	504.00000	Haplotaxodon_microlepis	Rh1	Chordata	AB458142.1
S26	496.00000	Hemibates_stenosoma	Rh1	Chordata	AB185222.1
S27	500.00000	Labidochromis_caeruleus	Rh1	Chordata	AB084934.1
S28	498.00000	Limnochromis_staneri	Rh1	Chordata	AB185225.1
S29	505.00000	Oreochromis_niloticus	Rh1	Chordata	AB084938.1
S30	500.00000	Pallidochromis_tokolosh	Rh1	Chordata	AB185229.1
S31	490.00000	Perissodus_elaviae	Rh1	Chordata	AB185230.1
S32	498.00000	Pseudotropheus_sp.	Rh1	Chordata	GQ422475.1
S33	502.00000	Spathodus_erythrodon	Rh1	Chordata	AB084941.1
S34	484.00000	Trematocara_unimaculatum	Rh1	Chordata	AB185238.1
S35	488.00000	Trematocara_macrostoma	Rh1	Chordata	AB084945.1
S36	501.00000	Tropheus_duboisi	Rh1	Chordata	AB084946.1
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	Chordata	AB458130.1
S38	491.00000	Xenotilapia_caudafasciata	Rh1	Chordata	AB458131.1
S39	503.00000	Xenotilapia_ochrogenys	Rh1	Chordata	AB084947.1
S40	497.90000	Tachyglossus_aculeatus	Rh1	Chordata	JX103830
S41	503.80000	Tachyglossus_aculeatus	Rh1	Chordata	JX103830_N83D
S42	498.00000	Tachyglossus_aculeatus	Rh1	Chordata	JX103830_T158A
S43	499.40000	Tachyglossus_aculeatus	Rh1	Chordata	JX103830_F169A
S44	501.50000	Bos_taurus	Rh1	Chordata	NM_001014890_D83G
S45	491.50000	Bos_taurus	Rh1	Chordata	NM_001014890_D83N
S46	494.50000	Bos_taurus	Rh1	Chordata	NM_001014890_M86E
S47	483.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E122Q
S48	498.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E122I
S49	499.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E134L
S50	497.50000	Bos_taurus	Rh1	Chordata	NM_001014890_E134Q
S51	501.00000	Bos_taurus	Rh1	Chordata	NM_001014890_R135L
S52	495.00000	Bos_taurus	Rh1	Chordata	NM_001014890_H211C
S53	495.50000	Bos_taurus	Rh1	Chordata	NM_001014890_H211F
S54	498.50000	Bos_taurus	Rh1	Chordata	NM_001014890_E122I_D83G
S55	493.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E122I_M86E
S56	499.50000	Bos_taurus	Rh1	Chordata	NM_001014890_E134L_R135L
S57	498.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E134R_R135E
S58	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_T97S
S59	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_F116S
S60	493.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E122M
S61	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_A164G
S62	500.00000	Cyprichromis_leptosoma	Rh1	Chordata	AB458118.1
S63	491.00000	Paracyprichromis_brieni	Rh1	Chordata	AB458120.1
S64	497.00000	Xenotilapia_papilio	Rh1	Chordata	AB457996.1
S65	494.00000	Paracyprichromis_brieni	Rh1	Chordata	AB458121.1
S66	493.00000	Neolamprologus_ventralis	Rh1	Chordata	AB458138.1
S67	492.00000	Paracyprichromis_nigripinnis	Rh1	Chordata	AB458122.1
S68	489.00000	Cyprichromis_pavo	Rh1	Chordata	AB458119.1
S69	498.00000	Cyphotilapia_frontosa	Rh1	Chordata	AB084929_S292A
S70	500.00000	Trematocara_macrostoma	Rh1	Chordata	AB084945_S292A
S71	491.00000	Oreochromis_niloticus	Rh1	Chordata	AB084938_A292S
S72	500.00000	Baileychromis_centropomoides	Rh1	Chordata	AB185217_N83D
S73	503.00000	Pallidochromis_tokolosh	Rh1	Chordata	AB185229_N83D
S74	502.00000	Diplotaxodon_macrops	Rh1	Chordata	AB185220_N83D
S75	494.00000	Limnochromis_staneri	Rh1	Chordata	AB185225_D83N
S76	501.00000	Rod_ancestor_pigmenta	Rh1	Chordata	pigmenta
S77	501.00000	Rod_ancestor_pigmentb	Rh1	Chordata	pigmentb
S78	501.00000	Rod_ancestor_pigmentc	Rh1	Chordata	pigmentc
S79	501.00000	Rod_ancestor_pigmentd	Rh1	Chordata	pigmentd
S80	482.00000	Rod_ancestor_pigmente	Rh1	Chordata	pigmente
S81	502.00000	Rod_ancestor_pigmentf	Rh1	Chordata	pigmentf
S82	501.00000	Rod_ancestor_pigmentg	Rh1	Chordata	pigmentg
S83	502.00000	Rod_ancestor_pigmenth	Rh1	Chordata	pigmenth
S84	496.00000	Rod_ancestor_pigmenti	Rh1	Chordata	pigmenti
S85	485.00000	Rod_ancestor_pigmentj	Rh1	Chordata	pigmentj
S86	486.00000	Rod_ancestor_pigmenti	Rh1	Chordata	pigmentk
S87	486.00000	Conger_myriaster	Rh1	Chordata	AB043817.1
S88	485.00000	Latimeria_chalumnae	Rh1	Chordata	AH007712.2
S89	496.00000	Loxodonta_africana	Rh1	Chordata	AY686752.1
S90	483.00000	Sebastolobus_altivelis	Rh1	Chordata	DQ490124
S91	526.00000	Aristostomias_scintillans	Rh1	Chordata	EU407248.1
S92	489.00000	Chauliodus_macouni	Rh1	Chordata	EU407250.1
S93	492.00000	Stenobrachius_leucopsarus	Rh1	Chordata	EU407251.1
S94	507.00000	Lepidopus_fitchi	Rh1	Chordata	EU407252.1
S95	486.00000	Lepidopus_fitchi	Rh1	Chordata	EU407253.1
S96	491.00000	Anolis_carolinensis	Rh1	Chordata	L31503
S97	479.00000	Anguilla_japonica	Rh1	Chordata	LC464070.1
S98	504.00000	Astyanax_mexicanus	Rh1	Chordata	U12328.1
S99	489.00000	Rod_ancestor_pigmentc_A292S	Rh1	Chordata	pigmentc_A292S
S100	502.00000	Rod_ancestor_pigmentd_A292S	Rh1	Chordata	pigmentd_A292S
S101	491.00000	Rod_ancestor_pigmentg_A292S	Rh1	Chordata	pigmentg_A292S
S102	498.00000	Rod_ancestor_pigmenta_D83N	Rh1	Chordata	pigmenta_D83N
S103	479.00000	Rod_ancestor_pigmente_D83N	Rh1	Chordata	pigmente_D83N
S104	488.00000	Rod_ancestor_pigmenta_D83N_A292S	Rh1	Chordata	pigmenta_D83N_A292S
S105	486.00000	Rod_ancestor_pigmentg_D83N_A292S	Rh1	Chordata	pigmentg_D83N_A292S
S106	482.00000	Rod_ancestor_pigmenth_D83N_A292S	Rh1	Chordata	pigmenth_D83N_A292S
S107	482.00000	Rod_ancestor_pigmenti_D83N_A292S	Rh1	Chordata	pigmenti_D83N_A292S
S108	497.00000	Rod_ancestor_pigmenta_D83N_I214T	Rh1	Chordata	pigmenta_D83N_I214T
S109	526.00000	Rod_ancestor_pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I	Rh1	Chordata	pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I
S110	501.00000	Rod_ancestor_pigmentb_E122I	Rh1	Chordata	pigmentb_E122I
S111	507.00000	Rod_ancestor_pigmentb_E122I_F261Y	Rh1	Chordata	pigmentb_E122I_F261Y
S112	484.00000	Rod_ancestor_pigmentf_E122M_A292S	Rh1	Chordata	pigmentf_E122M_A292S
S113	504.00000	Rod_ancestor_pigmentf_E122M_F261Y	Rh1	Chordata	pigmentf_E122M_F261Y
S114	490.00000	Rod_ancestor_pigmentf_E122M_F261Y_A292S	Rh1	Chordata	pigmentf_E122M_F261Y_A292S
S115	489.00000	Rod_ancestor_pigmentf_E122Q	Rh1	Chordata	pigmentf_E122Q
S116	478.00000	Rod_ancestor_pigmenta_E122Q_A292S	Rh1	Chordata	pigmenta_E122Q_A292S
S117	511.00000	Rod_ancestor_pigmentb_F261Y	Rh1	Chordata	pigmentb_F261Y
S118	503.00000	Rod_ancestor_pigmenti_F261Y	Rh1	Chordata	pigmenti_F261Y
S119	488.00000	Rod_ancestor_pigmentd_N195A_A292S	Rh1	Chordata	pigmentd_N195A_A292S
S120	488.00000	Rod_ancestor_pigmentd_P194R_A292S	Rh1	Chordata	pigmentd_P194R_A292S
S121	501.00000	Rod_ancestor_pigmentd_P194R_N195A	Rh1	Chordata	pigmentd_P194R_N195A
S122	488.00000	Rod_ancestor_pigmentd_P194R_N195A_A292S	Rh1	Chordata	pigmentd_P194R_N195A_A292S
S123	494.00000	Rod_ancestor_pigmenth_Y96V_Y102F	Rh1	Chordata	pigmenth_Y96V_Y102F
S124	491.00000	Sebastolobus_altivelis	Rh1	Chordata	DQ490124_N83D
S125	492.00000	Chauliodus_macouni	Rh1	Chordata	EU407250.1_N83D
S126	490.00000	Lepidopus_fitchi	Rh1	Chordata	EU407253.1_N83D
S127	501.00000	Sebastolobus_altivelis	Rh1	Chordata	DQ490124_N83D_S292A
S128	504.00000	Chauliodus_macouni	Rh1	Chordata	EU407250.1_N83D_S292A
S129	495.00000	Lepidopus_fitchi	Rh1	Chordata	EU407253.1_N83D_S292A
S130	499.00000	Stenobrachius_leucopsarus	Rh1	Chordata	EU407251_Q122E
S131	498.00000	Conger_myriaster	Rh1	Chordata	AB043817.1_S292A
S132	494.00000	Sebastolobus_altivelis	Rh1	Chordata	DQ490124_S292A
S133	501.00000	Chauliodus_macouni	Rh1	Chordata	EU407250.1_S292A
S134	490.00000	Lepidopus_fitchi	Rh1	Chordata	EU407253.1_S292A
S135	502.00000	Lepidopus_fitchi	Rh1	Chordata	EU407252.1_Y261F
S136	483.00000	Sebastolobus_altivelis	Rh1	Chordata	DQ490124.1
S137	500.00000	Bos_taurus	Rh1	Chordata	P02699.1
S138	489.00000	Tursiops_truncatus	Rh1	Chordata	NM_001280659.1
S139	524.00000	Tursiops_truncatus	LWS	Chordata	XM_019933644.2
S140	552.00000	Tursiops_truncatus	LWS	Chordata	XM_019933644.2_S292A
S141	489.00000	Bos_taurus	Rh1	Chordata	NM_001014890_A292S
S142	501.00000	Bos_taurus	Rh1	Chordata	NM_001014890_A299S
S143	485.00000	Bos_taurus	Rh1	Chordata	NM_001014890_D83N_A292S
S144	489.00000	Bos_taurus	Rh1	Chordata	NM_001014890_D83N_A292S_A299S
S145	492.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	DQ490124.1_1_277-NM_001014890_278_348
S146	501.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	NM_001014890_1_277-DQ490124.1[S292A]_278_306-NM_001014890_307_348
S147	499.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	NM_001014890_1_306-DQ490124.1_307_348
S148	494.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	DQ490124.1[S292A]_1_306-NM_001014890_307_348
S149	491.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	DQ490124.1_1_277-NM_001014890_278_306-DQ490124.1_307_348
S150	501.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	NM_001014890_1_277-DQ490124.1[S292A]_278_348
S151	482.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	DQ490124.1_1_277-NM_001014890[A292S]_278_348
S152	494.00000	Sebastolobus_altivelis	Rh1	Chordata	DQ490124.1_S292A
S153	488.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	NM_001014890_1_277-DQ490124.1_278_306-NM_001014890_307_348
S154	488.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	NM_001014890[A292S]_1_306-DQ490124.1_307_348
S155	482.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	DQ490124.1_1_306-NM_001014890_307_348
S156	482.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	DQ490124.1_1_277-NM_001014890[A292S]_278_306-DQ490124.1_307_348
S157	490.00000	Bos,Sebastolobus_taurus,altivelis	Rh1	Chordata	NM_001014890_1_277-DQ490124.1_278_348
S158	467.00000	Gekko_gekko	Rh2	Chordata	M92035
S159	496.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_F49A
S160	496.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_L52M
S161	492.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_F49A_L52M
S162	496.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_D83N
S163	488.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_T97A
S164	481.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_D83N_M86T_T97A
S165	495.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_S164A
S166	512.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_Q122E
S167	511.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1_F49S_Q122E_S164A
S168	467.00000	Gekko_gekko	Rh2	Chordata	M92035_A164S
S169	480.00000	Gekko_gekko	Rh2	Chordata	M92035_Q122E
S170	452.00000	Oryzias_latipes	Rh2	Chordata	AB223053.1
S171	459.00000	Oryzias_latipes	Rh2	Chordata	AB223053.1_S292A
S172	469.00000	Oryzias_latipes	Rh2	Chordata	AB223053.1_Q122E_S292A
S173	496.00000	Anolis_carolinensis	Rh2	Chordata	NM_001291394.1
S174	491.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_348
S175	482.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_70-M92035.1_71_100-AH007735.2_101_348
S176	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_105-M92035.1_106_139-AH007735.2_140_149-M92035.1_150_172-AH007735.2_173_348
S177	494.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_348
S178	493.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_243-M92035.1_244_273-AH007735.2_274_348
S179	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_284-M92035.1_285_309-AH007735.2_310_348
S180	471.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_70-M92035.1_71_100-AH007735.2_101_105-M92035.1_106_139-AH007735.2_140-149-M92035.1_150_172-AH007735.2_173_348
S181	489.00000	Gekko,Anolis_gekko,carolinensis	Rh2	Chordata	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_243-M92035.1_244_273-AH007735.2_274_284-M92035.1_285_309-AH007735.2_310_348
S182	467.00000	Danio_rerio	Rh2	Chordata	AB087805.2
S183	467.00000	Danio_rerio	Rh2	Chordata	AB087806.2
S184	488.00000	Danio_rerio	Rh2	Chordata	AB087807.1
S185	505.00000	Danio_rerio	Rh2	Chordata	AB087808.2
S186	464.00000	Danio_rerio	Rh2	Chordata	AB087805.2_K36Q
