feature,p_value,score,BayesianRidge,rf,lgbm,gbc,xgb,mean
p1_GAP,0.22084410872897633,1.507793515291947,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,3.0079659640467973e-06,23.035578804811387,0.3649214380688685,0.0010555182512378023,0.0,2.639404330223151e-05,5.0527586e-05,0.0732107755898216
p1_M,7.469564357679823e-07,26.032503250147784,0.02647319529838255,0.002680735352828063,0.21428571428571427,0.06676633759871121,2.799497e-06,0.062041756406526594
p1_P,0.45011987422668276,0.5724780307037536,0.0,0.0,0.0,0.0,0.0,0.0
p1_TQHYSIVGA,0.0018958453710190412,9.895577436096607,0.03230825530820825,0.003476354220672639,0.0,0.007354448563096088,0.0006988539,0.008767582403276363
p2_GAP,0.9677707685558468,0.0016363902879280546,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.42924327075317703,0.6272827768519117,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.142264769924999,2.169471268994449,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,1.8125211571156393e-22,120.48589970688468,0.01312574276129223,0.014515630143465453,0.0,0.001285950470247951,1.6649e-05,0.0057887944751665015
p2_TLQPYF,0.26727023155258217,1.2372353198209425,0.0,0.0,0.0,0.0,0.0,0.0
p3_E,2.1356735562772136e-10,44.56627877803314,0.16701075171051477,0.0001004991364765971,0.0,0.13513507340805905,9.322571e-05,0.06046790999298231
p3_G,0.003849882763613941,8.541400515105599,0.17785634620030544,0.0077615123015710615,0.5714285714285714,0.00015272689923491356,4.9552415e-05,0.15144974184884982
p3_GAP,0.6694920668438741,0.18270812688378538,0.0,0.0,0.0,0.0,0.0,0.0
p3_SKTFYRLQV,0.0003991893497280818,12.947272031864635,0.4409922509629444,0.03947951564071653,0.0,0.0018401283636189005,8.592884e-06,0.09646409757027888
p4_GAP,7.8026473843122e-10,41.51377328102748,0.29151979914591647,0.00047016588538353795,1.0,0.002611445603046516,5.149918e-05,0.2589305819630092
p4_M,0.004071677335086601,8.435332306595422,0.16538783119659234,0.08852967813760274,0.0,1.8159027040390177e-05,0.001490709,0.051085275476770865
p4_R,5.28768609812316e-09,37.081022021489424,0.26803380346074934,0.023822419521453052,0.0,0.025517579931020877,5.1688283e-05,0.06348509823921222
p4_SIAEVNPQ,0.5539986099432777,0.35132523600200305,0.0,0.0,0.0,0.0,0.0,0.0
p4_T,0.008954339355608108,6.960416230219169,0.07420990259286109,0.008933594589928996,0.07142857142857142,8.091338758011575e-05,3.369036e-07,0.030930663780510487
p5_GAP,2.9732516528107663e-13,60.700135984789796,0.011687580642431913,0.012242614609516833,0.0,0.0006165381819861135,7.690203e-08,0.00490936206719361
p5_H,0.027837330017228764,4.9057298890375325,0.24563347237816152,0.001301324290440836,0.0,0.0001288572926016798,0.0029262123,0.04999797324620337
p5_KDPTYAGVS,0.00875184926698919,7.002734869138907,0.6981544475674623,0.036008334423341046,0.0,0.00012626230033865152,4.4909808e-05,0.14686679081981072
p5_M,0.019376293480987856,5.55196115907064,0.23073769125931767,0.007395974474180594,0.0,0.0064956263180735345,0.0024568208,0.04941722257086698
p5_Q,0.0016700555778502114,10.140353977911348,0.22533868166956397,0.0025688574135964773,0.0,0.001896794801342839,1.8463672e-07,0.04596090370424433
p5_R,0.13215789105083128,2.284625442548105,0.0,0.0,0.0,0.0,0.0,0.0
p6_E,6.766529610886685e-12,52.90037956575179,0.09743347310091882,0.021145078248332262,0.0,0.002438902518390474,4.3501846e-08,0.024203499473897445
p6_G,0.004337461844641944,8.315775462420293,0.011458236902423148,0.08425384600739172,0.21428571428571427,0.004072791713688107,1.5902395e-07,0.06281414958663442
p6_GAP,0.9557603922905181,0.0030847510926091024,0.0,0.0,0.0,0.0,0.0,0.0
p6_HAMFKS,0.7554341488916619,0.09727368446351914,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.002006995722073895,9.7858256454395,0.04933131174770299,0.009870804072237943,0.0,2.649397722927775e-05,2.7572898e-06,0.01184627341740382
