feature,gbc,BayesianRidge,rf,xgb,et,mean
1,0.006784294481272363,0.12125301287670381,0.0314340724397708,8.251709368778393e-05,0.00013410674536178335,0.03193760072735931
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2517021846269264,0.21909356540326325,0.058803889345291384,0.00020629948994610459,6.183459603355379e-05,0.10597355469229215
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.006738464038785316,0.03872380588977879,0.05410294786466721,0.0005146621842868626,0.0018593303812626145,0.02038784207175616
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.005057166406243453,0.11163251200455837,0.1863977840571386,7.70605038269423e-06,1.5814474688888044e-06,0.0606193499931584
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.14833122636021884,0.011534438041244276,0.08414022309753132,1.4712109987158328e-05,0.0004972070842186319,0.048903561338640045
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.010135947978645971,0.08242819114844835,0.085993542844319,0.00045955966925248504,0.000302372756051112,0.03586392287934338
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.08366596407910132,0.19994768418673806,0.04643663185668006,0.0006661114748567343,0.000790091155456874,0.0663012965505666
25,0.060885330405268064,0.05172014595786703,0.050580432476086436,0.00031786231556907296,0.0003903012353217654,0.03277881447802247
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.025703713288419125,0.03226315660347017,0.027394689871866162,7.120860345821711e-07,0.0038293574511116322,0.017838325860180332
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.05588714805175812,0.10569196104119576,0.09545466833424796,0.1411813646554947,0.0003377971793546802,0.07971058785241023
32,0.037992993894095,0.015039580145893051,0.028986889921558782,0.0012943065958097577,0.00042896762593533773,0.016748547636658385
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.03747765748030365,0.13498844859944362,0.057091568003782296,0.07069599628448486,0.0004889835573804308,0.060148530785078966
36,0.034899203789552656,0.05111652830326425,0.034530275390079176,0.00012575903383549303,0.00026212491796793173,0.0241867782869399
37,0.013736620595408332,0.13118423420156708,0.06558636180690364,0.0003237056080251932,0.00034396482448251486,0.04223497740727735
38,0.0024712569933929298,0.10045270557026484,0.04056147604360605,5.8220797654939815e-05,0.021333519729271673,0.03297543582683808
39,0.02325892036830636,0.08376242464322971,0.03665148977832985,0.00445380387827754,0.0002654459576523802,0.029678416925159167
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.13014685923993943,0.00695937102991251,0.054953602576724415,0.0,2.5303159502221913e-06,0.038412472632505315
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.030921991747167508,0.031165847720887853,0.04087186513696246,0.0003160902124363929,0.0038972056024990753,0.02143460008399066
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.010223606819754821,0.029745646797178168,0.017142841563346722,0.0003262016107328236,0.004024139064371116,0.01229248717107673
50,0.002616323195876654,0.018726240516201597,0.08516821880473963,0.0047392891719937325,2.6884606971108955e-06,0.022250552029901744
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.05588714805175812,0.10569196104119576,0.09545466833424796,0.1411813646554947,0.0003377971793546802,0.07971058785241023
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0033906669325305654,0.1442184668832601,0.07414223825416547,0.026095127686858177,0.007214283618062106,0.05101215667497529
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.20607208196812163,0.07491181737345043,0.1846955793666942,3.130416735075414e-05,0.00034368807117396156,0.09321089418935821
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.03452552392118635,0.06791278240828937,0.04732832579472727,0.00027713607414625585,0.0003117823684907493,0.030071110113368
65,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0
69,0.004485685387669024,0.0014517725593978523,0.01555722480924528,0.0022075632587075233,0.00044691705470724933,0.004829832613945386
70,0.30277507618620264,0.00791471350371684,0.0258061831567678,8.980531447377871e-07,0.019584059726092014,0.07121618612518481
71,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
81,0.021155955154395185,0.04349325818593378,0.012037800095445379,0.0005408723372966051,9.298911117066145e-05,0.015464174976848322
82,0.0,0.0,0.0,0.0,0.0,0.0
83,0.026298164444616648,0.14635766696927083,0.02603459723834237,0.0004922727821394801,0.0005111238219448832,0.039938765051262835
84,0.025979379764581652,0.030063063754894332,0.028970564362533778,0.00015266182890627533,2.451243576777719e-06,0.017033624190898565
85,0.026298164444616648,0.14635766696927083,0.02603459723834237,0.0004922727821394801,0.0005111238219448832,0.039938765051262835
86,0.0,0.0,0.0,0.0,0.0,0.0
87,0.08029070055380944,0.14695083611776938,0.06322834971004998,0.07125484943389893,0.00021539314526145646,0.07238802579215783
88,0.008374371293981081,0.12050738316097381,0.006657880454147542,2.108318221871741e-05,0.0001738010768308853,0.027146903833630404
89,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0
93,0.48786324834924943,0.05036320486619918,0.12673574410707816,0.0,0.00027327412262397505,0.13304709428903017
94,0.0775591269388222,0.1108126660881802,0.12653867974737534,0.00282683246769011,0.0022073975558129784,0.06398894055957617
95,0.0,0.0,0.0,0.0,0.0,0.0
96,0.037244994012363315,0.15618560170790205,0.061764410028846965,0.013895818963646889,0.004537278218104064,0.054725620586172655
97,0.006037012823530906,0.029021454647298762,0.05556116618193209,0.0002513820072636008,0.0003137591778275346,0.018236954967570582
98,0.005057166406243453,0.11163251200455837,0.1863977840571386,7.70605038269423e-06,1.5814474688888044e-06,0.0606193499931584
99,0.0,0.0,0.0,0.0,0.0,0.0
100,0.3274128014577647,0.10227288102897208,0.09001186922009215,3.7363899991760263e-06,0.0021587285099483725,0.1043720033213553
101,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0022981095541837623,0.04015039050916578,0.049332090511763314,0.0,1.897736962666533e-06,0.018356497662415105
104,0.004620177979257725,0.09384930133459024,0.12530604573601148,0.0001238682889379561,0.0004527552316190273,0.04487042971408328
105,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0
108,0.004383928332238116,0.055901967034615654,0.01929630657244351,0.00014499195094686002,0.0005306810556385452,0.016051574989176535
109,0.05588714805175812,0.10569196104119576,0.09545466833424796,0.1411813646554947,0.0003377971793546802,0.07971058785241023
