feature,gbr,rf,xgb,mean
1_P1,0.013228090885243,0.16017760653141525,0.0001328385842498392,0.05784617866696936
1_SCT,0.07808897267589958,0.04663897097088117,0.05724320933222771,0.060657050993002816
2_H1,0.041176075758121884,0.026565857086488127,0.0005025439313612878,0.022748158925323766
2_P1,0.010790334678060573,0.008494388649919093,0.0,0.006428241109326556
2_SCT,0.0013512932991617804,0.012089911970793552,0.0,0.004480401756651777
3_H1,0.02290995992552464,0.050453453418650075,0.00044455865281634033,0.024602657332330354
3_P1,0.0297766935468446,0.18206862215404465,0.0002936062519438565,0.0707129739842777
3_SCT,0.005738961128416921,0.0018662011018382209,0.0,0.002535054076751714
4_P1,0.0015769688693915121,0.009482662692642599,0.00018486593035049736,0.0037481658307948694
4_SCT,0.01877466562499299,0.01184539444080353,0.0016381570603698492,0.010752739042055455
5_H1,0.003674000851244408,0.006838507010083963,0.0031109070405364037,0.004541138300621591
6_P1,0.03833446521796137,0.02091422136633894,0.013174842111766338,0.024141176232022218
7_H1,0.012443708867066425,0.0098594665081957,0.0044035702012479305,0.008902248525503352
7_P1,0.0076639470105957464,0.0032583032716467382,0.0,0.003640750094080828
7_SCT,0.04523383099665191,0.04903988079426038,0.0,0.03142457059697076
8_P1,0.007473683941330781,0.010993171664923968,0.0002512823266442865,0.006239379310966345
8_SCT,0.0033389731660349205,0.0031739238183069863,0.0,0.0021709656614473023
9_H1,0.0039035904005930294,0.003829499779008581,0.0,0.00257769672653387
9_P1,0.005999495917668878,0.0032615354564170303,0.0,0.0030870104580286357
10_H1,0.0051507530355834495,0.008882036592906675,6.309976015472785e-05,0.004698629796214951
11_H1,0.0014252199824140832,0.0041845260040487735,0.008962662890553474,0.00485746962567211
11_P1,0.009305285418435581,0.005622459418675051,0.011756188236176968,0.008894644357762533
11_SCT,0.0014367011788144696,0.009430975449342436,0.0005020676180720329,0.003789914748742979
12_SCT,0.0036121601032165465,0.0012226161707324793,0.0,0.0016115920913163419
13_H1,0.0016627356882487564,0.018315403211423175,0.0,0.006659379633223977
13_P1,0.0054904297325938725,0.002202435865655222,0.005750404670834541,0.004481090089694545
13_SCT,0.002546236330900132,0.007924336072995244,0.0,0.003490190801298459
14_P1,0.007756259406449491,0.02820080242731483,0.0007513383752666414,0.012236133403010321
14_SCT,0.006703991783841092,0.0030029630481269143,0.0,0.0032356516106560023
15_H1,0.0610837473859787,0.09018242453520657,0.0011362330988049507,0.05080080167333007
15_P1,0.0060510983083685915,0.02108732943084647,0.0,0.009046142579738355
15_SCT,0.012310992038753547,0.0032372386755730826,0.0,0.00518274357144221
17_H1,0.0042562895718807996,0.00417507488115611,0.0,0.00281045481767897
17_P1,0.0013620386341943597,0.008178385204665701,0.0031663035042583942,0.004235575781039485
17_SCT,0.000844921011221827,0.002173420972442322,0.0,0.0010061139945547165
18_H1,0.005478052910387387,0.003533642735731642,0.0,0.0030038985487063426
18_P1,0.002554576492192496,0.02253664784306935,0.0007690680795349181,0.008620097471598922
18_SCT,0.028875207716334804,0.01036460785757363,0.0,0.013079938524636145
19_H1,0.04521122476860776,0.008914644684869747,0.001586329541169107,0.01857073299821554
19_P1,0.018414533775688153,0.017161865069975954,0.0,0.011858799615221368
19_SCT,0.0036390259703354797,0.04950051546675958,0.0,0.017713180479031688
20_H1,0.0022344515016813828,0.003992414216255024,0.0,0.002075621905978802
20_P1,0.0010190987338442906,0.013090964449832631,0.0,0.004703354394558974
20_SCT,0.018981666400816954,0.026405433450484853,0.0,0.015129033283767268
21_H1,0.0013959828819676255,0.0007746734099204396,0.002539448207244277,0.001570034833044114
21_SCT,0.0021204210850907933,0.16607874267075406,0.0,0.05606638791861496
22_H1,0.0009220028073220192,0.0010587643669526582,0.0,0.0006602557247582259
23_H1,0.0012532263998148792,0.002217428537512132,0.0,0.0011568849791090037
23_P1,0.0026011167719168556,4.077816280800046e-08,0.0,0.0008670525166932212
23_SCT,0.00028316500811291853,0.00669108637872978,0.0,0.0023247504622808993
24_H1,0.006512087620953695,0.0035240929096947097,0.0,0.0033453935102161353
24_P1,0.02048845539553583,0.03221897173126972,0.0020808118861168623,0.018262746337640804
24_SCT,0.009848690187329426,0.023947135468603286,0.0,0.011265275218644238
25_H1,0.0004898483650248959,0.00047586416167678605,0.0,0.0003219041755672273
25_P1,0.0009573892466052485,0.00240888270423109,0.0,0.0011220906502787795
26_H1,0.0009378135491050313,0.0008282045401317211,0.0,0.0005886726964122508
27_H1,0.00723270737456569,0.0029546087679235265,0.0,0.0033957720474964057
27_SCT,0.0014721879737574419,5.376024410762357e-05,0.0,0.0005086494059550218
28_H1,0.0020704701757758115,0.004475796967961392,0.0,0.0021820890479124014
