,Accession,Lambda_Max
Bovine,NM_001014890,500.0
S1,U57536.1,502.0
S2,U57540.1,502.0
S3,U57541.1,481.0
S4,U57543.1,494.0
S5,U57542.1,494.0
S6,U57537.1,491.0
S7,U57546.1,486.0
S8,U57544.1,490.0
S9,U57545.1,490.0
S10,U57539.1,499.0
S11,U57538.1,493.0
S12,AB458132.1,498.0
S13,AB185214.1,495.0
S14,AB084924.1,499.0
S15,AB185217.1,492.0
S16,AB185218.1,501.0
S17,AB084927.1,488.0
S18,AB084929.1,487.0
S19,AB084930.1,498.0
S20,AB084931.1,502.0
S21,AB185220.1,500.0
S22,AB084932.1,497.0
S23,AB185221.1,488.0
S24,AB084933.1,501.0
S25,AB458142.1,504.0
S26,AB185222.1,496.0
S27,AB084934.1,500.0
S28,AB185225.1,498.0
S29,AB084938.1,505.0
S30,AB185229.1,500.0
S31,AB185230.1,490.0
S32,GQ422475.1,498.0
S33,AB084941.1,502.0
S34,AB185238.1,484.0
S35,AB084945.1,488.0
S36,AB084946.1,501.0
S37,AB458130.1,488.0
S38,AB458131.1,491.0
S39,AB084947.1,503.0
S40,JX103830,497.9
S41,AB458118.1,500.0
S42,AB458120.1,491.0
S43,AB457996.1,497.0
S44,AB458121.1,494.0
S45,AB458138.1,493.0
S46,AB458122.1,492.0
S47,AB458119.1,489.0
S48,pigmenta,501.0
S49,pigmentb,501.0
S50,pigmentc,501.0
S51,pigmentd,501.0
S52,pigmente,482.0
S53,pigmentf,502.0
S54,pigmentg,501.0
S55,pigmenth,502.0
S56,pigmenti,496.0
S57,pigmentj,485.0
S58,pigmentk,486.0
S59,AB043817.1,486.0
S60,AH007712.2,485.0
S61,AY686752.1,496.0
S62,DQ490124,483.0
S63,EU407248.1,526.0
S64,EU407250.1,489.0
S65,EU407251.1,492.0
S66,EU407252.1,507.0
S67,EU407253.1,486.0
S68,L31503,491.0
S69,LC464070.1,479.0
S70,U12328.1,504.0
S71,NM_001280659.1,489.0
S72,XM_019933644.2,524.0
S73,M92035,467.0
S74,AB223053.1,452.0
S75,NM_001291394.1,496.0
S76,AB087805.2,467.0
S77,AB087806.2,476.0
S78,AB087807.1,488.0
S79,AB087808.2,505.0
S80,EU571209.1,536.0
S81,AH005459.2,501.0
S82,L11867.1,560.9
S83,AJ430489.1,463.0
S84,D85863.1,359.0
S85,AB087810.1,355.0
S86,NM_001085652.1,425.0
S87,AF038948.1,356.0
S88,AH007736.2,358.0
S89,AY024356.1,360.0
S90,AH007798.2,393.0
S91,AF222331.1,359.0
S92,M92039.1,417.0
S93,Y11787.1,360.0
S94,AH003620.2,414.0
S95,NP_031564.1,359.0
S96,U63972.1,358.0
S97,AY552608.1,420.0
S98,AY686753.1,419.0
S99,AY286017.1,420.0
S100,AF055314,489.0
S101,AF055315,488.0
S102,AF055316,482.0
S103,AF055317,501.0
S104,AF055318,496.5
S105,AF055319,502.0
S106,AB007425.1,571.0
S107,AB007423.1,540.0
S108,L11863.1,492.0
S109,Y11146.1,505.0
S110,L07770.1,502.0
S111,S49004,502.0
S112,S79840,500.0
S113,U36574,506.0
S114,AH007730.2,502.0
S115,AF222329,502.0
