,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S86,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_ S180A_A308S,525.0,533.1105268627254,8.11052686272535
S44,Loxodonta_africana,LWS,AY686754.1,552.0,551.8840133340516,-0.11598666594841234
S89,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_Y277F_T285A,534.0,536.5784201045593,2.5784201045593136
S27,Poecilia_reticulata,LWS2,LC127183,516.0,529.2133951045985,13.213395104598476
S62,lwsanc_pigmentz_sp.,LWS,lwsanc_pigmentz_H294N,533.0,532.1943431014784,-0.8056568985216472
S76,Saimiri_sciureus,LWS,AH006281_G236S,556.0,558.7008914495501,2.700891449550113
S87,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_H197Y_T285A,522.0,523.9233534998604,1.9233534998603545
S50,lwsanc_pigmente_sp.,LWS,lwsanc_pigmente,558.0,560.759064133992,2.7590641339919557
S18,Felis_catus,LWS,AF132040,553.0,548.956356236562,-4.043643763438013
S70,Saimiri_sciureus,LWS,AH006282,545.0,545.1878259376188,0.18782593761875432
S28,Poecilia_reticulata,LWS3,LC127184,519.0,569.5630252037388,50.56302520373879
S65,Aotus_azaraiboliviensis,LWS,AB081277.2,539.0,537.1980174893732,-1.8019825106267717
S82,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_A308S,527.0,537.227210877139,10.227210877138987
S59,lwsanc_pigmenty_sp.,LWS,lwsanc_pigmenty_I274V,554.0,551.3041472050743,-2.695852794925713
S19,Equus_caballus,LWS,AF132043,545.0,542.8377347445105,-2.162265255489501
S2,Tursiops_truncatus,LWS,XM_019933644.2_S292A,552.0,523.8349628558242,-28.165037144175813
S25,Poecilia_reticulata,LWS1,AB748985.1,571.0,563.8711425176142,-7.128857482385797
S81,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_T285A,543.0,540.0749588892453,-2.925041110754705
S22,Neosciurus_carolinensis,LWS,AF132044,532.0,535.112714270895,3.112714270895026
S74,Saimiri_sciureus,LWS,AH006281,558.0,557.2646285373729,-0.7353714626270857
S45,Loxodonta_africana,LWS,AY686754.1_A180S,558.0,554.2160916353513,-3.7839083646487097
S84,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_ S180A_Y277F,545.0,546.9737849798535,1.9737849798534626
S4,Carassius_auratus,LWS,L11867.1,562.8,552.9723765726211,-9.827623427378853
S40,Carassius_auratus,LWS,L11865.1,511.0,510.8318634059295,-0.16813659407051773
